Pos,No,Driver,Team,Time,Grid
1,6,Esteban Ocon,ART Grand Prix,1:55.491,1
2,14,Kevin Ceccon,Arden International,1:55.507,2
3,5,Marvin Kirchhöfer,ART Grand Prix,1:55.549,3
4,27,Luca Ghiotto,Trident,1:55.574,4
5,11,Jimmy Eriksson,Koiranen GP,1:55.679,5
6,15,Emil Bernstorff,Arden International,1:55.852,6
7,1,Antonio Fuoco,Carlin,1:55.873,7
8,24,Alex Palou,Campos Racing,1:55.919,8
9,12,Matt Parry,Koiranen GP,1:55.952,9
10,26,Artur Janosz,Trident,1:56.064,10
11,20,Pål Varhaug,Jenzer Motorsport,1:56.095,11
12,3,Mitchell Gilbert,Carlin,1:56.205,12
13,21,Mathéo Tuscher,Jenzer Motorsport,1:56.265,13
14,22,Ralph Boschung,Jenzer Motorsport,1:56.284,14
15,10,Matevos Isaakyan,Koiranen GP,1:56.313,15
16,23,Zaid Ashkanani,Campos Racing,1:56.361,16
17,8,Alex Fontana,Status Grand Prix,1:56.538,17
18,7,Seb Morris,Status Grand Prix,1:56.871,23
19,2,Adderly Fong,Carlin,1:56.877,18
20,9,Sandy Stuvik,Status Grand Prix,1:56.936,19
21,28,Michele Beretta,Trident,1:57.030,20
22,4,Alfonso Celis Jr.,ART Grand Prix,1:57.163,21
23,25,Konstantin Tereshchenko,Campos Racing,1:57.468,22
24,16,Aleksander Bosak,Arden International,1:58.865,24
