Pos.,No.,Driver,Team,Time,Gap,Grid
1,5,Marvin Kirchhöfer,ART Grand Prix,1:47.040,,1
2,15,Emil Bernstorff,Arden International,1:47.197,+ 0.157 s,2
3,24,Álex Palou,Campos Racing,1:47.237,+ 0.197 s,3
4,12,Matt Parry,Koiranen GP,1:47.258,+ 0.218 s,4
5,11,Jimmy Eriksson,Koiranen GP,1:47.389,+ 0.349 s,5
6,27,Luca Ghiotto,Trident,1:47.602,+ 0.562 s,6
7,10,Adderly Fong,Koiranen GP,1:47.620,+ 0.580 s,7
8,6,Esteban Ocon,ART Grand Prix,1:47.648,+ 0.608 s,8
9,3,Mitchell Gilbert,ART Grand Prix,1:47.664,+ 0.624 s,9
10,14,Kevin Ceccon,Arden International,1:47.945,+ 0.905 s,10
11,22,Ralph Boschung,Jenzer Motorsport,1:48.053,+ 1.013 s,11
12,26,Artur Janosz,Trident,1:48.086,+ 1.046 s,12
13,7,Seb Morris,Status Grand Prix,1:48.169,+ 1.129 s,13
14,2,Jann Mardenborough,Carlin,1:48.204,+ 1.164 s,14
15,28,Óscar Tunjo,Trident,1:48.275,+ 1.235 s,15
16,20,Pål Varhaug,Jenzer Motorsport,1:48.338,+ 1.298 s,16
17,4,Alfonso Celis Jr.,ART Grand Prix,1:48.522,+ 1.482 s,17
18,8,Alex Fontana,Status Grand Prix,1:48.536,+ 1.496 s,18
19,9,Sandy Stuvik,Status Grand Prix,1:48.541,+ 1.501 s,19
20,21,Mathéo Tuscher,Arden International,1:48.609,+ 1.569 s,20
21,1,Antonio Fuoco,Carlin,1:49.157,+ 2.117 s,20
22,16,Aleksander Bosak,Arden International,1:49.351,+ 2.311 s,21
23,25,Christopher Höher,Campos Racing,1:49.661,+ 2.621 s,23
24,23,Zaid Ashkanani,Campos Racing,1:49.750,+ 2.710 s,24
