Pos.,No.,Driver,Team,Time,Grid
1,27,Luca Ghiotto,Trident,2:04.943,1
2,6,Esteban Ocon,ART Grand Prix,2:05.114,2
3,5,Marvin Kirchhöfer,ART Grand Prix,2:05.144,6
4,15,Emil Bernstorff,Arden International,2:05.308,3
5,1,Antonio Fuoco,Carlin,2:05.458,4
6,14,Kevin Ceccon,Arden International,2:05.591,5
7,12,Matt Parry,Koiranen GP,2:05.618,7
8,21,Mathéo Tuscher,Jenzer Motorsport,2:05.669,8
9,11,Jimmy Eriksson,Koiranen GP,2:05.704,9
10,4,Alfonso Celis Jr.,ART Grand Prix,2:05.834,10
11,2,Jann Mardenborough,Carlin,2:05.869,11
12,20,Pål Varhaug,Jenzer Motorsport,2:05.931,12
13,7,Seb Morris,Status Grand Prix,2:05.938,13
14,24,Alex Palou,Campos Racing,2:05.939,14
15,3,Mitchell Gilbert,Carlin,2:06.065,15
16,22,Ralph Boschung,Jenzer Motorsport,2:06.110,16
17,26,Artur Janosz,Trident,2:06.314,17
18,8,Alex Fontana,Status Grand Prix,2:06.317,18
19,28,Beitske Visser,Trident,2:06.373,19
20,10,Adderly Fong,Koiranen GP,2:06.537,20
21,16,Aleksander Bosak,Arden International,2:06.538,21
22,23,Zaid Ashkanani,Campos Racing,2:06.922,22
23,9,Sandy Stuvik,Status Grand Prix,2:07.106,23
