Pos.,No.,Driver,Team,Time,Grid
1,8,Jimmy Eriksson,Koiranen GP,1:38.195,1
2,3,Dino Zamparelli,ART Grand Prix,1:38.503,2
3,26,Nick Yelloly,Status Grand Prix,1:38.536,3
4,11,Emil Bernstorff,Carlin,1:38.611,4
5,27,Richie Stanaway,Status Grand Prix,1:38.636,5
6,10,Alex Lynn,Carlin,1:38.667,6
7,4,Robert Vișoiu,Arden International,1:38.668,7
8,2,Marvin Kirchhöfer,ART Grand Prix,1:38.680,8
9,14,Patrick Kujala,Marussia Manor Racing,1:38.682,9
10,16,Dean Stoneman,Marussia Manor Racing,1:38.685,10
11,21,Mathéo Tuscher,Jenzer Motorsport,1:38.714,11
12,1,Alex Fontana,ART Grand Prix,1:38.776,12
13,6,Jann Mardenborough,Arden International,1:38.788,13
14,22,Kevin Ceccon,Jenzer Motorsport,1:38.931,14
15,20,Pål Varhaug,Jenzer Motorsport,1:38.998,15
16,25,Mitchell Gilbert,Trident,1:39.130,16
17,5,Patric Niederhauser,Arden International,1:39.245,17
18,18,Nelson Mason,Hilmer Motorsport,1:39.260,18
19,23,Luca Ghiotto,Trident,1:39.299,19
20,12,Luís Sá Silva,Carlin,1:39.303,20
21,24,John Bryant-Meisner,Trident,1:39.323,21
22,19,Riccardo Agostini,Hilmer Motorsport,1:39.353,22
23,28,Alfonso Celis Jr.,Status Grand Prix,1:39.364,23
24,15,Ryan Cullen,Marussia Manor Racing,1:39.412,24
25,9,Santiago Urrutia,Koiranen GP,1:39.599,25
26,17,Sebastian Balthasar,Hilmer Motorsport,1:39.674,26
27,7,Carmen Jordá,Koiranen GP,1:41.413,27
