Pos.,No.,Driver,Team,Time,Grid
1,8,Jimmy Eriksson,Koiranen GP,2:05.322,1
2,10,Alex Lynn,Carlin,2:05.638,2
3,2,Marvin Kirchhöfer,ART Grand Prix,2:06.385,3
4,3,Dino Zamparelli,ART Grand Prix,2:06.392,9
5,6,Jann Mardenborough,Arden International,2:06.430,4
6,11,Emil Bernstorff,Carlin,2:06.669,5
7,27,Richie Stanaway,Status Grand Prix,2:06.704,6
8,26,Nick Yelloly,Status Grand Prix,2:06.805,7
9,19,Riccardo Agostini,Hilmer Motorsport,2:07.202,8
10,28,Alfonso Celis Jr.,Status Grand Prix,2:07.291,10
11,4,Robert Vișoiu,Arden International,2:07.293,11
12,14,Patrick Kujala,Marussia Manor Racing,2:07.417,12
13,20,Pål Varhaug,Jenzer Motorsport,2:07.490,13
14,1,Alex Fontana,ART Grand Prix,2:07.585,14
15,21,Mathéo Tuscher,Jenzer Motorsport,2:07.601,15
16,16,Dean Stoneman,Marussia Manor Racing,2:07.613,16
17,24,Roman de Beer,Trident,2:07.753,17
18,12,Luís Sá Silva,Carlin,2:07.803,18
19,18,Nelson Mason,Hilmer Motorsport,2:08.233,PL
20,5,Patric Niederhauser,Arden International,2:08.302,19
21,15,Ryan Cullen,Marussia Manor Racing,2:09.570,20
22,22,Adderly Fong,Jenzer Motorsport,2:09.647,21
23,9,Santiago Urrutia,Koiranen GP,2:09.968,22
24,23,Victor Carbone,Trident,2:11.380,23
25,7,Carmen Jordá,Koiranen GP,2:13.958,24
26,17,Sebastian Balthasar,Hilmer Motorsport,No time,25
27,25,Mitchell Gilbert,Trident,No time,WD
