Pos.,No.,Driver,Team,Time,Grid
1,10,Alex Lynn,Carlin,1:20.585,1
2,1,Alex Fontana,ART Grand Prix,1:20.608,2
3,16,Dean Stoneman,Marussia Manor Racing,1:20.664,6
4,11,Emil Bernstorff,Carlin,1:20.693,3
5,14,Patrick Kujala,Marussia Manor Racing,1:20.744,4
6,8,Jimmy Eriksson,Koiranen GP,1:20.797,5
7,2,Marvin Kirchhöfer,ART Grand Prix,1:20.863,7
8,27,Richie Stanaway,Status Grand Prix,1:20.974,8
9,26,Nick Yelloly,Status Grand Prix,1:21.071,9
10,12,Luís Sá Silva,Carlin,1:21.142,10
11,19,Riccardo Agostini,Hilmer Motorsport,1:21.149,11
12,3,Dino Zamparelli,ART Grand Prix,1:21.168,12
13,18,Nelson Mason,Hilmer Motorsport,1:21.193,13
14,21,Mathéo Tuscher,Jenzer Motorsport,1:21.225,14
15,6,Jann Mardenborough,Arden International,1:21.227,18
16,5,Patric Niederhauser,Arden International,1:21.236,15
17,4,Robert Vișoiu,Arden International,1:21.309,16
18,9,Santiago Urrutia,Koiranen GP,1:21.382,17
19,24,Roman de Beer,Trident,1:21.491,19
20,28,Alfonso Celis Jr.,Status Grand Prix,1:21.591,25
21,20,Pål Varhaug,Jenzer Motorsport,1:21.654,20
22,22,Adderly Fong,Jenzer Motorsport,1:21.908,21
23,23,Victor Carbone,Trident,1:22.125,22
24,17,Nikolay Martsenko,Hilmer Motorsport,1:22.171,23
25,15,Ryan Cullen,Marussia Manor Racing,1:22.259,24
26,7,Carmen Jordá,Koiranen GP,1:23.802,26
