Pos.,No.,Driver,Team,Time,Grid
1,2,Marvin Kirchhöfer,ART Grand Prix,1:28.647,1
2,10,Alex Lynn,Carlin,1:28.706,2
3,26,Nick Yelloly,Status Grand Prix,1:28.749,3
4,11,Emil Bernstorff,Carlin,1:28.910,4
5,8,Jimmy Eriksson,Koiranen GP,1:28.949,10
6,25,Mitchell Gilbert,Trident,1:28.995,5
7,3,Dino Zamparelli,ART Grand Prix,1:29.133,6
8,27,Richie Stanaway,Status Grand Prix,1:29.205,7
9,21,Mathéo Tuscher,Jenzer Motorsport,1:29.212,8
10,16,Dean Stoneman,Marussia Manor Racing,1:29.247,9
11,1,Alex Fontana,ART Grand Prix,1:29.329,16
12,24,Roman de Beer,Trident,1:29.338,11
13,4,Robert Vișoiu,Arden International,1:29.400,12
14,6,Jann Mardenborough,Arden International,1:29.405,13
15,19,Riccardo Agostini,Hilmer Motorsport,1:29.516,14
16,28,Alfonso Celis Jr.,Status Grand Prix,1:29.531,15
17,5,Patric Niederhauser,Arden International,1:29.672,17
18,17,Sebastian Balthasar,Hilmer Motorsport,1:29.849,18
19,20,Pål Varhaug,Jenzer Motorsport,1:29.870,24
20,12,Luís Sá Silva,Carlin,1:29.951,19
21,18,Nelson Mason,Hilmer Motorsport,1:30.082,20
22,15,Ryan Cullen,Marussia Manor Racing,1:30.180,21
23,14,Patrick Kujala,Marussia Manor Racing,1:30.272,22
24,22,Adderly Fong,Jenzer Motorsport,1:30.646,23
25,9,Santiago Urrutia,Koiranen GP,1:30.977,25
26,23,Victor Carbone,Trident,1:31.219,26
27,7,Carmen Jordá,Koiranen GP,1:32.951,27
