Pos.,No.,Driver,Team,Time,Grid
1,27,Richie Stanaway,Status Grand Prix,1:33.553,1
2,10,Alex Lynn,Carlin,1:33.588,2
3,26,Nick Yelloly,Status Grand Prix,1:33.679,3
4,4,Robert Vișoiu,Arden International,1:33.729,4
5,3,Dino Zamparelli,ART Grand Prix,1:33.771,5
6,11,Emil Bernstorff,Carlin,1:33.807,6
7,5,Patric Niederhauser,Arden International,1:33.873,7
8,1,Alex Fontana,ART Grand Prix,1:33.894,8
9,14,Patrick Kujala,Marussia Manor Racing,1:33.975,9
10,2,Marvin Kirchhöfer,ART Grand Prix,1:34.076,14
11,12,Luís Sá Silva,Carlin,1:34.084,15
12,8,Jimmy Eriksson,Koiranen GP,1:34.124,10
13,6,Jann Mardenborough,Arden International,1:34.231,11
14,25,Mitchell Gilbert,Trident,1:34.253,12
15,9,Santiago Urrutia,Koiranen GP,1:34.265,13
16,16,Dean Stoneman,Marussia Manor Racing,1:34.308,16
17,24,Roman de Beer,Trident,1:34.327,17
18,19,Riccardo Agostini,Hilmer Motorsport,1:34.346,18
19,21,Mathéo Tuscher,Jenzer Motorsport,1:34.420,PL
20,18,Nelson Mason,Hilmer Motorsport,1:34.450,19
21,20,Pål Varhaug,Jenzer Motorsport,1:34.545,25
22,17,Sebastian Balthasar,Hilmer Motorsport,1:34.569,20
23,28,Alfonso Celis Jr.,Status Grand Prix,1:34.821,21
24,22,Christopher Höher,Jenzer Motorsport,1:35.776,22
25,15,Ryan Cullen,Marussia Manor Racing,1:35.915,23
26,7,Carmen Jordá,Koiranen GP,1:38.632,24
