Pos.,No.,Driver,Team,Time,Grid
1,7,Dean Stoneman,Koiranen GP,1:51.715,1
2,1,Alex Fontana,ART Grand Prix,1:52.204,2
3,2,Marvin Kirchhöfer,ART Grand Prix,1:52.208,3
4,3,Dino Zamparelli,ART Grand Prix,1:52.288,4
5,8,Jimmy Eriksson,Koiranen GP,1:52.388,5
6,27,Richie Stanaway,Status Grand Prix,1:52.476,PL
7,22,Kevin Ceccon,Jenzer Motorsport,1:52.499,6
8,10,Alex Lynn,Carlin,1:52.506,7
9,5,Patric Niederhauser,Arden International,1:52.527,8
10,11,Emil Bernstorff,Carlin,1:52.537,9
11,26,Nick Yelloly,Status Grand Prix,1:52.607,10
12,6,Jann Mardenborough,Arden International,1:52.906,11
13,21,Mathéo Tuscher,Jenzer Motorsport,1:52.981,12
14,4,Robert Vișoiu,Arden International,1:53.019,13
15,19,Riccardo Agostini,Hilmer Motorsport,1:53.151,14
16,25,Mitchell Gilbert,Trident,1:53.190,15
17,20,Pål Varhaug,Jenzer Motorsport,1:53.193,16
18,24,Patrick Kujala,Trident,1:53.386,17
19,28,Alfonso Celis Jr.,Status Grand Prix,1:53.693,18
20,12,Luís Sá Silva,Carlin,1:53.742,19
21,9,Santiago Urrutia,Koiranen GP,1:53.744,20
22,18,Nelson Mason,Hilmer Motorsport,1:54.191,21
23,17,Nikolay Martsenko,Hilmer Motorsport,1:54.700,22
