Team,No.,Driver name,Rounds
ART Grand Prix,1,Alexander Rossi,All
ART Grand Prix,2,Esteban Gutiérrez,All
ART Grand Prix,3,Pedro Nunes,All
Status Grand Prix,4,Robert Wickens,All
Status Grand Prix,5,Ivan Lukashevich,All
Status Grand Prix,6,Daniel Morad,All
Manor Racing,7,James Jakes,"1–5, 8"
Manor Racing,7,Adrien Tambay,6–7
Manor Racing,8,Rio Haryanto,All
Manor Racing,9,Adrian Quaife-Hobbs,All
RSC Mücke Motorsport,10,Nigel Melker,All
RSC Mücke Motorsport,11,Renger van der Zande,All
RSC Mücke Motorsport,12,Tobias Hegewald,All
Carlin,14,Josef Newgarden,All
Carlin,15,Dean Smith,All
Carlin,16,Lucas Foresti,"1, 3–5, 8"
Carlin,16,Mikhail Aleshin,2
Carlin,16,António Félix da Costa,6–7
Addax Team,17,Felipe Guimarães,All
Addax Team,18,Pablo Sánchez López,All
Addax Team,19,Mirko Bortolotti,All
MW Arden,20,Michael Christensen,All
MW Arden,21,Miki Monrás,All
MW Arden,22,Leonardo Cordeiro,All
Jenzer Motorsport,23,Pål Varhaug,All
Jenzer Motorsport,24,Simon Trummer,"1–5, 7–8"
Jenzer Motorsport,24,Marco Barba,6
Jenzer Motorsport,25,Nico Müller,All
Tech 1 Racing,26,Doru Sechelariu,All
Tech 1 Racing,27,Daniel Juncadella,1
Tech 1 Racing,27,Stefano Coletti,2–8
Tech 1 Racing,28,Jean-Éric Vergne,"1, 3"
Tech 1 Racing,28,Jim Pla,2
Tech 1 Racing,28,Daniel Juncadella,"4–5, 7–8"
AtechCRS GP,29,Patrick Reiterer,1–2
AtechCRS GP,29,Roberto Merhi,3–8
AtechCRS GP,30,Oliver Oakes,All
AtechCRS GP,31,Vittorio Ghirelli,All
