Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:46.476,–,1
2,19,Lando Norris,Carlin,1:46.696,+0.220,2
3,8,George Russell,ART Grand Prix,1:46.839,+0.363,3
4,6,Nicholas Latifi,DAMS,1:46.890,+0.414,4
5,5,Alexander Albon,DAMS,1:47.039,+0.563,5
6,14,Luca Ghiotto,Campos Vexatec Racing,1:47.151,+0.675,6
7,2,Tadasuke Makino,Russian Time,1:47.372,+0.896,7
8,18,Sérgio Sette Câmara,Carlin,1:47.384,+0.908,8
9,7,Jack Aitken,ART Grand Prix,1:47.634,+1.158,9
10,11,Maximilian Günther,BWT Arden,1:47.743,+1.267,10
11,21,Antonio Fuoco,Charouz Racing System,1:47.774,+1.298,11
12,15,Roberto Merhi,Campos Vexatec Racing,1:47.854,+1.378,12
13,17,Alessio Lorandi,Trident,1:48.006,+1.530,13
14,20,Louis Delétraz,Charouz Racing System,1:48.105,+1.629,14
15,3,Sean Gelael,Pertamina Prema Theodore Racing,1:48.154,+1.678,15
16,10,Niko Kari,MP Motorsport,1:48.206,+1.730,16
17,12,Nirei Fukuzumi,BWT Arden,1:48.327,+1.851,17
18,9,Dorian Boccolacci,MP Motorsport,1:48.491,+2.015,18
19,1,Artem Markelov,Russian Time,1:48.568,+2.092,19
—,16,Arjun Maini,Trident,2:14.971,+28.495,20
