Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:56.054,–,1
2,8,George Russell,ART Grand Prix,1:56.457,+0.403,2
3,18,Sérgio Sette Câmara,Carlin,1:56.594,+0.540,3
4,14,Luca Ghiotto,Campos Vexatec Racing,1:56.611,+0.557,4
5,19,Lando Norris,Carlin,1:56.723,+0.669,5
6,5,Alexander Albon,DAMS,1:56.878,+0.824,6
7,21,Antonio Fuoco,Charouz Racing System,1:56.930,+0.876,10
8,12,Nirei Fukuzumi,BWT Arden,1:57.169,+1.115,7
9,20,Louis Delétraz,Charouz Racing System,1:57.183,+1.129,8
10,1,Artem Markelov,Russian Time,1:57.266,+1.212,9
11,2,Tadasuke Makino,Russian Time,1:57.394,+1.340,11
12,6,Nicholas Latifi,DAMS,1:57.515,+1.461,12
13,10,Ralph Boschung,MP Motorsport,1:57.596,+1.542,13
14,11,Maximilian Günther,BWT Arden,1:57.635,+1.581,14
15,16,Arjun Maini,Trident,1:57.718,+1.664,15
16,7,Jack Aitken,ART Grand Prix,1:57.754,+1.700,16
17,15,Roy Nissany,Campos Vexatec Racing,1:57.773,+1.719,17
18,3,Sean Gelael,Pertamina Prema Theodore Racing,1:57.878,+1.824,18
19,17,Alessio Lorandi,Trident,1:58.174,+2.120,19
20,9,Dorian Boccolacci,MP Motorsport,1:58.338,+2.284,20
