Pos.,No.,Driver,Team,Time,Gap,Grid
1,8,George Russell,ART Grand Prix,1:13.541,–,1
2,19,Lando Norris,Carlin,1:13.779,+0.238,2
3,18,Sérgio Sette Câmara,Carlin,1:13.823,+0.282,3
4,7,Jack Aitken,ART Grand Prix,1:13.961,+0.420,4
5,16,Arjun Maini,Trident,1:13.999,+0.458,5
6,11,Maximilian Günther,BWT Arden,1:14.014,+0.563,6
7,20,Louis Delétraz,Charouz Racing System,1:14.104,+0.653,7
8,5,Alexander Albon,DAMS,1:14.115,+0.574,8
9,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:14.171,+0.630,9
10,2,Tadasuke Makino,Russian Time,1:14.201,+0.660,10
11,14,Luca Ghiotto,Campos Vexatec Racing,1:14.309,+0.768,11
12,9,Roberto Merhi,MP Motorsport,1:14.323,+0.782,12
13,21,Antonio Fuoco,Charouz Racing System,1:14.330,+0.789,13
14,17,Santino Ferrucci,Trident,1:14.334,+0.793,14
15,3,Sean Gelael,Pertamina Prema Theodore Racing,1:14.363,+0.822,15
16,10,Ralph Boschung,MP Motorsport,1:14.389,+0.848,16
17,12,Nirei Fukuzumi,BWT Arden,1:14.400,+0.859,17
18,1,Artem Markelov,Russian Time,1:14.589,+1.048,18
19,6,Nicholas Latifi,DAMS,1:14.700,+1.159,19
20,15,Roy Nissany,Campos Vexatec Racing,1:15.436,+1.895,20
