Team,No.,Driver,Rounds
Prema Powerteam,1,Raffaele Marciello,All
Prema Powerteam,2,Alex Lynn,All
Prema Powerteam,24,Lucas Auer,All
Prema Powerteam,25,Eddie Cheever III,All
Carlin,3,Harry Tincknell,All
Carlin,4,Jordan King,All
Carlin,26,Nicholas Latifi,All
Carlin,27,Jann Mardenborough,All
Carlin,51,Daniil Kvyat,3–9
Carlin,51,Nick Cassidy,10
kfzteile24Mücke Motorsport,5,Pascal Wehrlein,1
kfzteile24Mücke Motorsport,5,Michael Lewis,2–10
kfzteile24Mücke Motorsport,6,Felix Rosenqvist,All
kfzteile24Mücke Motorsport,28,Mitchell Gilbert,All
kfzteile24Mücke Motorsport,29,Roy Nissany,All
ma-con,7,Sven Müller,1–7
ma-con,7,Stefano Coletti,10
ma-con,8,André Rudersdorf,All
URD Rennsport,9,Lucas Wolf,All
Jo Zeller Racing,10,Sandro Zeller,All
Fortec Motorsports,11,Félix Serrallés,All
Fortec Motorsports,12,Luis Felipe Derani,All
Fortec Motorsports,30,Josh Hill,1–5
Fortec Motorsports,30,John Bryant-Meisner,9–10
Fortec Motorsports,31,Dmitry Suranovich,1
Fortec Motorsports,31,Edward Jones,3
Fortec Motorsports,31,William Buller,5
Fortec Motorsports,31,Alfonso Celis Jr.,8
ThreeBondwithT-Sport,14,William Buller,1–4
ThreeBondwithT-Sport,14,Alexander Sims,6–9
ThreeBondwithT-Sport,14,Kevin Korjus,10
ThreeBondwithT-Sport,15,Richard Goddard,All
Double R Racing,16,Tatiana Calderón,All
Double R Racing,17,Antonio Giovinazzi,All
Double R Racing,32,Sean Gelael,All
Van Amersfoort Racing,18,Dennis van de Laar,All
Van Amersfoort Racing,19,Måns Grenhagen,1–5
Van Amersfoort Racing,19,Sven Müller,8–10
EuroInternational,20,Tom Blomqvist,All
EuroInternational,52,Nick Cassidy,6
Romeo Ferraris,22,Gary Thompson,1–2
Romeo Ferraris,23,Michela Cerruti,"1, 4, 6"
