Pos.,No.,Driver,Entrant,Time,GridSR,GridFR
1,6,Victor Martins,ART Grand Prix,1:39.832,8,1
2,24,Kush Maini,Campos Racing,+0.113,141,2
3,11,Ayumu Iwasa,DAMS,+0.120,7,3
4,14,Jack Doohan,Invicta Virtuosi Racing,+0.125,6,4
5,8,Oliver Bearman,Prema Racing,+0.157,5,5
6,4,Enzo Fittipaldi,Rodin Carlin,+0.159,4,6
7,3,Zane Maloney,Rodin Carlin,+0.169,102,7
8,5,Théo Pourchaire,ART Grand Prix,+0.187,3,8
9,10,Isack Hadjar,Hitech Pulse-Eight,+0.194,2,9
10,7,Frederik Vesti,Prema Racing,+0.220,1,10
11,16,Roy Nissany,PHM RacingbyCharouz,+0.303,9,11
12,12,Arthur Leclerc,DAMS,+0.366,11,12
13,2,Jehan Daruvala,MP Motorsport,+0.482,12,13
14,1,Dennis Hauger,MP Motorsport,+0.536,193,14
15,9,Jak Crawford,Hitech Pulse-Eight,+0.568,13,15
16,20,Roman Staněk,Trident,+0.694,15,16
17,22,Richard Verschoor,Van Amersfoort Racing,+0.729,16,17
18,25,Ralph Boschung,Campos Racing,+0.983,17,18
19,17,Brad Benavides,PHM RacingbyCharouz,+1.118,18,19
20,21,Clément Novalak,Trident,+1.274,20,20
21,15,Amaury Cordeel,Invicta Virtuosi Racing,+1.625,21,21
22,23,Juan Manuel Correa,Van Amersfoort Racing,+2.252,22,22
