Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,6,Victor Martins,ART Grand Prix,1:41.326,10,1
2,8,Oliver Bearman,Prema Racing,+0.744,8,2
3,5,Théo Pourchaire,ART Grand Prix,+0.745,7,81
4,14,Jack Doohan,Invicta Virtuosi Racing,+0.784,6,3
5,2,Jehan Daruvala,MP Motorsport,+0.785,5,4
6,11,Ayumu Iwasa,DAMS,+0.794,4,5
7,7,Frederik Vesti,Prema Racing,+0.969,91,6
8,24,Kush Maini,Campos Racing,+1.034,3,7
9,25,Ralph Boschung,Campos Racing,+1.171,2,9
10,9,Jak Crawford,Hitech Pulse-Eight,+1.227,1,10
11,21,Clément Novalak,Trident,+1.250,162,11
12,23,Juan Manuel Correa,Van Amersfoort Racing,+1.291,11,12
13,12,Arthur Leclerc,DAMS,+1.303,12,13
14,4,Enzo Fittipaldi,Rodin Carlin,+1.360,13,14
15,1,Dennis Hauger,MP Motorsport,+1.428,14,15
16,20,Roman Staněk,Trident,+1.469,212,16
17,3,Zane Maloney,Rodin Carlin,+1.493,15,17
18,16,Roy Nissany,PHM RacingbyCharouz,+1.528,17,18
19,10,Isack Hadjar,Hitech Pulse-Eight,+1.753,18,19
20,22,Richard Verschoor,Van Amersfoort Racing,+2.059,19,20
21,15,Amaury Cordeel,Invicta Virtuosi Racing,+2.410,20,21
22,17,Brad Benavides,PHM RacingbyCharouz,+3.701,22,22
