Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:15.152,1:14.249,1:13.791,1
2,8,Fernando Alonso,Ferrari,1:14.808,1:14.081,1:13.793,2
3,7,Felipe Massa,Ferrari,1:15.216,1:14.478,1:14.290,3
4,6,Mark Webber,Red Bull-Renault,1:15.334,1:14.340,1:14.347,4
5,1,Jenson Button,McLaren-Mercedes,1:15.823,1:14.716,1:14.427,5
6,2,Lewis Hamilton,McLaren-Mercedes,1:15.505,1:14.488,1:14.566,6
7,11,Robert Kubica,Renault,1:15.736,1:14.835,1:15.079,7
8,9,Rubens Barrichello,Williams-Cosworth,1:16.398,1:14.698,1:15.109,8
9,4,Nico Rosberg,Mercedes,1:16.178,1:15.018,1:15.179,9
10,10,Nico Hülkenberg,Williams-Cosworth,1:16.387,1:14.943,1:15.339,10
11,3,Michael Schumacher,Mercedes,1:16.084,1:15.026,N/A,11
12,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:15.951,1:15.084,N/A,12
13,12,Vitaly Petrov,Renault,1:16.521,1:15.307,N/A,13
14,14,Adrian Sutil,Force India-Mercedes,1:16.220,1:15.467,N/A,19
15,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:16.450,1:15.550,N/A,14
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:16.664,1:15.588,N/A,15
17,16,Sébastien Buemi,Toro Rosso-Ferrari,1:16.029,1:15.974,N/A,16
18,18,Jarno Trulli,Lotus-Cosworth,1:17.583,N/A,N/A,17
19,19,Heikki Kovalainen,Lotus-Cosworth,1:18.300,N/A,N/A,18
20,24,Timo Glock,Virgin-Cosworth,1:18.343,N/A,N/A,23
21,21,Bruno Senna,HRT-Cosworth,1:18.592,N/A,N/A,20
22,15,Vitantonio Liuzzi,Force India-Mercedes,1:18.952,N/A,N/A,21
23,20,Sakon Yamamoto,HRT-Cosworth,1:19.844,N/A,N/A,22
24,25,Lucas di Grassi,Virgin-Cosworth,N/A,N/A,N/A,24
