Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:38.324,1:38.015,1:37.587,1
2,6,Mark Webber,Red Bull-Renault,1:38.549,1:38.041,1:37.662,2
3,2,Lewis Hamilton,McLaren-Mercedes,1:38.697,1:38.158,1:37.969,3
4,8,Fernando Alonso,Ferrari,1:38.472,1:38.179,1:38.075,4
5,7,Felipe Massa,Ferrari,1:38.657,1:38.046,1:38.127,5
6,11,Robert Kubica,Renault,1:38.132,1:38.062,1:38.137,6
7,1,Jenson Button,McLaren-Mercedes,1:38.360,1:38.399,1:38.210,7
8,10,Nico Hülkenberg,Williams-Cosworth,1:38.843,1:38.523,1:38.428,8
9,9,Rubens Barrichello,Williams-Cosworth,1:38.449,1:38.326,1:38.428,9
10,12,Vitaly Petrov,Renault,1:39.004,1:38.552,1:38.523,10
11,16,Sébastien Buemi,Toro Rosso-Ferrari,1:39.096,1:38.586,N/A,11
12,4,Nico Rosberg,Mercedes,1:38.752,1:38.627,N/A,12
13,14,Adrian Sutil,Force India-Mercedes,1:39.021,1:38.851,N/A,13
14,15,Vitantonio Liuzzi,Force India-Mercedes,1:38.969,1:38.884,N/A,14
15,3,Michael Schumacher,Mercedes,1:38.994,1:39.234,N/A,15
16,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:39.003,1:39.264,N/A,16
17,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:39.128,1:39.548,N/A,17
18,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:39.343,N/A,N/A,18
19,18,Jarno Trulli,Lotus-Cosworth,1:40.658,N/A,N/A,19
20,19,Heikki Kovalainen,Lotus-Cosworth,1:40.882,N/A,N/A,20
21,25,Lucas di Grassi,Virgin-Cosworth,1:42.086,N/A,N/A,21
22,24,Timo Glock,Virgin-Cosworth,1:42.140,N/A,N/A,22
23,20,Karun Chandhok,HRT-Cosworth,1:42.600,N/A,N/A,23
24,21,Bruno Senna,HRT-Cosworth,1:42.851,N/A,N/A,24
