Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,10,Nico Hülkenberg,Williams-Cosworth,1:20.050,1:19.144,1:14.470,1
2,5,Sebastian Vettel,Red Bull-Renault,1:19.160,1:18.691,1:15.519,2
3,6,Mark Webber,Red Bull-Renault,1:19.025,1:18.516,1:15.637,3
4,2,Lewis Hamilton,McLaren-Mercedes,1:19.931,1:18.921,1:15.747,4
5,8,Fernando Alonso,Ferrari,1:18.987,1:19.010,1:15.989,5
6,9,Rubens Barrichello,Williams-Cosworth,1:19.799,1:18.925,1:16.203,6
7,11,Robert Kubica,Renault,1:19.249,1:18.877,1:16.552,7
8,3,Michael Schumacher,Mercedes,1:19.879,1:18.923,1:16.925,8
9,7,Felipe Massa,Ferrari,1:19.778,1:19.200,1:17.101,9
10,12,Vitaly Petrov,Renault,1:20.189,1:19.153,1:17.656,10
11,1,Jenson Button,McLaren-Mercedes,1:19.905,1:19.288,N/A,11
12,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:19.741,1:19.385,N/A,12
13,4,Nico Rosberg,Mercedes,1:20.153,1:19.486,N/A,13
14,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:20.158,1:19.581,N/A,14
15,16,Sébastien Buemi,Toro Rosso-Ferrari,1:20.096,1:19.847,N/A,19
16,22,Nick Heidfeld,BMW Sauber-Ferrari,1:20.174,1:19.899,N/A,15
17,15,Vitantonio Liuzzi,Force India-Mercedes,1:20.592,1:20.357,N/A,16
18,14,Adrian Sutil,Force India-Mercedes,1:20.830,N/A,N/A,22
19,24,Timo Glock,Virgin-Cosworth,1:22.130,N/A,N/A,17
20,18,Jarno Trulli,Lotus-Cosworth,1:22.250,N/A,N/A,18
21,19,Heikki Kovalainen,Lotus-Cosworth,1:22.378,N/A,N/A,20
22,25,Lucas di Grassi,Virgin-Cosworth,1:22.810,N/A,N/A,21
23,20,Christian Klien,HRT-Cosworth,1:23.083,N/A,N/A,PL
24,21,Bruno Senna,HRT-Cosworth,1:23.796,N/A,N/A,24
