Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,8,Fernando Alonso,Ferrari,1:46.541,1:45.809,1:45.390,1
2,5,Sebastian Vettel,Red Bull-Renault,1:46.960,1:45.561,1:45.457,2
3,2,Lewis Hamilton,McLaren-Mercedes,1:48.296,1:46.042,1:45.571,3
4,1,Jenson Button,McLaren-Mercedes,1:48.032,1:46.490,1:45.944,4
5,6,Mark Webber,Red Bull-Renault,1:47.088,1:46.908,1:45.977,5
6,9,Rubens Barrichello,Williams-Cosworth,1:48.183,1:47.019,1:46.236,6
7,4,Nico Rosberg,Mercedes,1:48.554,1:46.783,1:46.443,7
8,11,Robert Kubica,Renault,1:47.657,1:46.949,1:46.593,8
9,3,Michael Schumacher,Mercedes,1:48.425,1:47.160,1:46.702,9
10,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:48.908,1:47.559,1:47.884,10
11,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:48.127,1:47.666,N/A,11
12,10,Nico Hülkenberg,Williams-Cosworth,1:47.984,1:47.674,N/A,17
13,12,Vitaly Petrov,Renault,1:48.906,1:48.165,N/A,12
14,16,Sébastien Buemi,Toro Rosso-Ferrari,1:49.063,1:48.502,N/A,13
15,22,Nick Heidfeld,BMW Sauber-Ferrari,1:48.696,1:48.557,N/A,14
16,14,Adrian Sutil,Force India-Mercedes,1:48.496,1:48.899,N/A,15
17,15,Vitantonio Liuzzi,Force India-Mercedes,1:48.988,1:48.961,N/A,16
18,24,Timo Glock,Virgin-Cosworth,1:50.721,N/A,N/A,18
19,19,Heikki Kovalainen,Lotus-Cosworth,1:50.915,N/A,N/A,19
20,25,Lucas di Grassi,Virgin-Cosworth,1:51.107,N/A,N/A,20
21,18,Jarno Trulli,Lotus-Cosworth,1:51.641,N/A,N/A,21
22,20,Christian Klien,HRT-Cosworth,1:52.964,N/A,N/A,22
23,21,Bruno Senna,HRT-Cosworth,1:54.174,N/A,N/A,23
24,7,Felipe Massa,Ferrari,N/A,N/A,N/A,24
