Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Mark Webber,Red Bull-Renault,1:21.412,1:20.655,1:19.995,1
2,5,Sebastian Vettel,Red Bull-Renault,1:21.680,1:20.772,1:20.101,2
3,2,Lewis Hamilton,McLaren-Mercedes,1:21.723,1:21.415,1:20.829,3
4,8,Fernando Alonso,Ferrari,1:21.957,1:21.549,1:20.937,4
5,1,Jenson Button,McLaren-Mercedes,1:21.915,1:21.168,1:20.991,5
6,3,Michael Schumacher,Mercedes,1:22.528,1:21.557,1:21.294,6
7,11,Robert Kubica,Renault,1:22.488,1:21.599,1:21.353,7
8,4,Nico Rosberg,Mercedes,1:22.419,1:21.867,1:21.408,8
9,7,Felipe Massa,Ferrari,1:22.564,1:21.841,1:21.585,9
10,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:22.577,1:21.725,1:21.984,10
11,14,Adrian Sutil,Force India-Mercedes,1:22.628,1:21.985,,11
12,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:22.211,1:22.026,,12
13,10,Nico Hülkenberg,Williams-Cosworth,1:22.857,1:22.131,,13
14,12,Vitaly Petrov,Renault,1:22.976,1:22.139,,19
15,16,Sébastien Buemi,Toro Rosso-Ferrari,1:22.699,1:22.191,,14
16,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:22.593,1:22.207,,15
17,15,Vitantonio Liuzzi,Force India-Mercedes,1:23.084,1:22.854,,16
18,9,Rubens Barrichello,Williams-Cosworth,1:23.125,,,17
19,18,Jarno Trulli,Lotus-Cosworth,1:24.674,,,18
20,19,Heikki Kovalainen,Lotus-Cosworth,1:24.748,,,20
21,24,Timo Glock,Virgin-Cosworth,1:25.475,,,22
22,25,Lucas di Grassi,Virgin-Cosworth,1:25.556,,,23
23,20,Karun Chandhok,HRT-Cosworth,1:26.750,,,24
24,21,Bruno Senna,HRT-Cosworth,1:27.122,,,21
