Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Mark Webber,Red Bull-Renault,1:15.035,1:14.462,1:13.826,1
2,11,Robert Kubica,Renault,1:15.045,1:14.549,1:14.120,2
3,5,Sebastian Vettel,Red Bull-Renault,1:15.110,1:14.568,1:14.227,3
4,7,Felipe Massa,Ferrari,1:14.757,1:14.405,1:14.283,4
5,2,Lewis Hamilton,McLaren-Mercedes,1:15.676,1:14.527,1:14.432,5
6,4,Nico Rosberg,Mercedes,1:15.188,1:14.375,1:14.544,6
7,3,Michael Schumacher,Mercedes,1:15.649,1:14.691,1:14.590,7
8,1,Jenson Button,McLaren-Mercedes,1:15.623,1:15.150,1:14.637,8
9,9,Rubens Barrichello,Williams-Cosworth,1:15.590,1:15.083,1:14.901,9
10,15,Vitantonio Liuzzi,Force India-Mercedes,1:15.397,1:15.061,1:15.170,10
11,10,Nico Hülkenberg,Williams-Cosworth,1:16.030,1:15.317,,11
12,14,Adrian Sutil,Force India-Mercedes,1:15.445,1:15.318,,12
13,16,Sébastien Buemi,Toro Rosso-Ferrari,1:15.961,1:15.413,,13
14,12,Vitaly Petrov,Renault,1:15.482,1:15.576,,14
15,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:15.908,1:15.692,,15
16,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:16.175,1:15.992,,16
17,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:16.021,1:16.176,,17
18,19,Heikki Kovalainen,Lotus-Cosworth,1:17.094,,,18
19,18,Jarno Trulli,Lotus-Cosworth,1:17.134,,,19
20,24,Timo Glock,Virgin-Cosworth,1:17.377,,,20
21,25,Lucas di Grassi,Virgin-Cosworth,1:17.864,,,21
22,21,Bruno Senna,HRT-Cosworth,1:18.509,,,22
23,20,Karun Chandhok,HRT-Cosworth,1:19.559,,,23
24,8,Fernando Alonso,Ferrari,no time,,,PL
