Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Red Bull-Renault,1:36.317,1:35.280,1:34.558,1
2,6,Mark Webber,Red Bull-Renault,1:35.978,1:35.100,1:34.806,2
3,8,Fernando Alonso,Ferrari,1:35.987,1:35.235,1:34.913,3
4,4,Nico Rosberg,Mercedes,1:35.952,1:35.134,1:34.923,4
5,1,Jenson Button,McLaren-Mercedes,1:36.122,1:35.443,1:34.979,5
6,2,Lewis Hamilton,McLaren-Mercedes,1:35.641,1:34.928,1:35.034,6
7,7,Felipe Massa,Ferrari,1:36.076,1:35.290,1:35.180,7
8,11,Robert Kubica,Renault,1:36.348,1:35.550,1:35.364,8
9,3,Michael Schumacher,Mercedes,1:36.484,1:35.715,1:35.646,9
10,14,Adrian Sutil,Force India-Mercedes,1:36.671,1:35.665,1:35.963,10
11,9,Rubens Barrichello,Williams-Cosworth,1:36.664,1:35.748,N/A,11
12,17,Jaime Alguersuari,Toro Rosso-Ferrari,1:36.618,1:36.047,N/A,12
13,16,Sébastien Buemi,Toro Rosso-Ferrari,1:36.793,1:36.149,N/A,13
14,12,Vitaly Petrov,Renault,1:37.031,1:36.311,N/A,14
15,23,Kamui Kobayashi,BMW Sauber-Ferrari,1:37.044,1:36.422,N/A,15
16,10,Nico Hülkenberg,Williams-Cosworth,1:37.049,1:36.647,N/A,16
17,22,Pedro de la Rosa,BMW Sauber-Ferrari,1:37.050,1:37.020,N/A,17
18,15,Vitantonio Liuzzi,Force India-Mercedes,1:37.161,N/A,N/A,18
19,24,Timo Glock,Virgin-Cosworth,1:39.278,N/A,N/A,19
20,18,Jarno Trulli,Lotus-Cosworth,1:39.399,N/A,N/A,20
21,19,Heikki Kovalainen,Lotus-Cosworth,1:39.520,N/A,N/A,21
22,25,Lucas di Grassi,Virgin-Cosworth,1:39.783,N/A,N/A,22
23,21,Bruno Senna,HRT-Cosworth,1:40.469,N/A,N/A,23
24,20,Karun Chandhok,HRT-Cosworth,1:40.578,N/A,N/A,PL
