Team,No.,Driver,Rounds
Prema Racing,1,Dino Beganovic,All
Prema Racing,2,Gabriele Minì,All
Prema Racing,3,Arvid Lindblad,All
Trident,4,Leonardo Fornaroli,All
Trident,5,Sami Meguetounif,All
Trident,6,Santiago Ramos,All
MP Motorsport,7,Tim Tramnitz,All
MP Motorsport,8,Kacper Sztuka,All
MP Motorsport,9,Alex Dunne,All
Campos Racing,10,Oliver Goethe,1–9
Campos Racing,10,Noah Strømsted,10
Campos Racing,11,Sebastián Montoya,All
Campos Racing,12,Mari Boya,All
Hitech Pulse-Eight,14,Luke Browning,All
Hitech Pulse-Eight,15,Martinius Stenshorne,"1–6, 8–10"
Hitech Pulse-Eight,15,James Wharton,7
Hitech Pulse-Eight,16,Cian Shields,All
Jenzer Motorsport,17,Charlie Wurz,All
Jenzer Motorsport,18,Max Esterson,All
Jenzer Motorsport,19,Matías Zagazeta,"1–3, 5–10"
Jenzer Motorsport,19,James Hedley,4
Van Amersfoort Racing,20,Noel León,All
Van Amersfoort Racing,21,Sophia Flörsch,All
Van Amersfoort Racing,22,Tommy Smith,All
ART Grand Prix,23,Christian Mansell,All
ART Grand Prix,24,Laurens van Hoepen,All
ART Grand Prix,25,Nikola Tsolov,"1–8, 10"
ART Grand Prix,25,Tuukka Taponen,9
PHM AIX Racing(1–2)AIX Racing(3–10),26,Tasanapol Inthraphuvasak,All
PHM AIX Racing(1–2)AIX Racing(3–10),27,Nikita Bedrin,All
PHM AIX Racing(1–2)AIX Racing(3–10),28,Joshua Dufek,All
Rodin Motorsport,29,Callum Voisin,All
Rodin Motorsport,30,Piotr Wiśnicki,All
Rodin Motorsport,31,Joseph Loake,All
