Team,No.,Driver,Rounds
Prema Powerteam,1,Nicholas Latifi,1–10
Prema Powerteam,2,Esteban Ocon,All
Prema Powerteam,25,Antonio Fuoco,All
Prema Powerteam,26,Dennis van de Laar,All
Mücke Motorsport,3,Lucas Auer,All
Mücke Motorsport,4,Roy Nissany,All
Mücke Motorsport,27,Felix Rosenqvist,All
Carlin,5,Jordan King,All
Carlin,6,Ed Jones,"1–3, 8–11"
Carlin,28,Jake Dennis,All
EuroInternational,7,Riccardo Agostini,1–3
EuroInternational,8,Michele Beretta,All
EuroInternational,29,Santino Ferrucci,5–9
EuroInternational,29,Sérgio Sette Câmara,10
EuroInternational,29,Stefano Coletti,11
Fortec Motorsports,9,Mitch Gilbert,1–6
Fortec Motorsports,9,Alfonso Celis Jr.,8
Fortec Motorsports,9,Martin Cao,10
Fortec Motorsports,10,John Bryant-Meisner,"1–6, 8"
Fortec Motorsports,10,Santino Ferrucci,10–11
ThreeBond Racing with T-Sport,11,Richard Goddard,"1–6, 8–11"
ThreeBond Racing with T-Sport,12,Alexander Toril,"1–6, 8–11"
ThreeBond Racing with T-Sport,32,Nick Cassidy,10–11
Double R Racing,14,Felipe Guimarães,1–6
Van Amersfoort Racing,15,Jules Szymkowiak,All
Van Amersfoort Racing,16,Gustavo Menezes,All
Van Amersfoort Racing,30,Max Verstappen,All
Jo Zeller Racing,17,Sandro Zeller,"2, 4–6, 8–11"
Jo Zeller Racing,18,Tatiana Calderón,All
Jagonya Ayam with Carlin,19,Antonio Giovinazzi,All
Jagonya Ayam with Carlin,20,Sean Gelael,All
Jagonya Ayam with Carlin,31,Tom Blomqvist,All
Team West-Tec F3,21,Félix Serrallés,All
Team West-Tec F3,22,Hector Hurst,1–8
Team West-Tec F3,22,Wing Chung Chang,9–11
Signature,23,William Buller,10
