Entrant,No.,Driver name,Rounds
Invicta Racing,1,Leonardo Fornaroli,1–5
Invicta Racing,2,Roman Staněk,1–5
Campos Racing,3,Pepe Martí,1–5
Campos Racing,4,Arvid Lindblad,1–5
MP Motorsport,5,Oliver Goethe,1–5
MP Motorsport,6,Richard Verschoor,1–5
HitechTGR,7,Luke Browning,1–5
HitechTGR,8,Dino Beganovic,1–5
Prema Racing,9,Sebastián Montoya,1–5
Prema Racing,10,Gabriele Minì,1–5
DAMS Lucas Oil,11,Jak Crawford,1–5
DAMS Lucas Oil,12,Kush Maini,1–5
ART Grand Prix,14,Victor Martins,1–5
ART Grand Prix,15,Ritomo Miyata,1–5
Rodin Motorsport,16,Amaury Cordeel,1–5
Rodin Motorsport,17,Alex Dunne,1–5
AIX Racing,20,Joshua Dürksen,1–5
AIX Racing,21,Cian Shields,1–5
Trident,22,Sami Meguetounif,1–5
Trident,23,Max Esterson,1–5
Van Amersfoort Racing,24,John Bennett,1–5
Van Amersfoort Racing,25,Rafael Villagómez,1–5
