Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:26.218,1:24.657,1:24.178,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:26.563,1:25.019,1:24.474,5
3,2,Mark Webber,Red Bull Racing-Renault,1:26.473,1:25.282,1:24.508,2
4,5,Fernando Alonso,Ferrari,1:26.774,1:25.158,1:24.519,3
5,4,Jenson Button,McLaren-Mercedes,1:26.225,1:25.299,1:24.950,4
6,6,Felipe Massa,Ferrari,1:27.012,1:25.522,1:25.122,6
7,8,Nico Rosberg,Mercedes,1:26.364,1:25.555,1:25.451,7
8,14,Adrian Sutil,Force India-Mercedes,1:26.271,1:26.140,no time,8
9,18,Sébastien Buemi,Toro Rosso-Ferrari,1:26.608,1:26.161,no time,9
10,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:26.557,1:26.319,no time,10
11,10,Vitaly Petrov,Renault,1:26.189,1:26.319,,16
12,7,Michael Schumacher,Mercedes,1:26.790,1:26.337,,11
13,15,Paul di Resta,Force India-Mercedes,1:26.864,1:26.503,,12
14,12,Pastor Maldonado,Williams-Cosworth,1:26.829,1:26.537,,13
15,9,Bruno Senna,Renault,1:26.766,1:26.651,,14
16,11,Rubens Barrichello,Williams-Cosworth,1:27.479,1:27.247,,15
17,17,Sergio Pérez,Sauber-Ferrari,1:27.249,1:27.562,,20
18,16,Kamui Kobayashi,Sauber-Ferrari,1:27.876,,,17
19,20,Heikki Kovalainen,Lotus-Renault,1:28.565,,,18
20,21,Jarno Trulli,Lotus-Renault,1:28.752,,,19
21,23,Daniel Ricciardo,HRT-Cosworth,1:30.216,,,23
22,22,Narain Karthikeyan,HRT-Cosworth,1:30.238,,,24
23,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:30.866,,,21
24,24,Timo Glock,Virgin-Cosworth,1:34.046,,,22
