Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:33.051,1:31.424,1:30.466,1
2,4,Jenson Button,McLaren-Mercedes,1:32.947,1:31.434,1:30.475,2
3,3,Lewis Hamilton,McLaren-Mercedes,1:32.843,1:31.139,1:30.617,3
4,6,Felipe Massa,Ferrari,1:33.235,1:31.909,1:30.804,4
5,5,Fernando Alonso,Ferrari,1:32.817,1:31.612,1:30.886,5
6,2,Mark Webber,Red Bull Racing-Renault,1:33.135,1:31.576,1:31.156,6
7,16,Kamui Kobayashi,Sauber-Ferrari,1:32.626,1:32.380,no time,7
8,7,Michael Schumacher,Mercedes,1:33.748,1:32.116,no time,8
9,9,Bruno Senna,Renault,1:33.359,1:32.297,no time,9
10,10,Vitaly Petrov,Renault,1:32.877,1:32.245,no time,10
11,14,Adrian Sutil,Force India-Mercedes,1:32.761,1:32.463,,11
12,15,Paul di Resta,Force India-Mercedes,1:33.499,1:32.746,,12
13,11,Rubens Barrichello,Williams-Cosworth,1:33.921,1:33.079,,13
14,12,Pastor Maldonado,Williams-Cosworth,1:33.781,1:33.224,,14
15,18,Sébastien Buemi,Toro Rosso-Ferrari,1:33.064,1:33.227,,15
16,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:35.111,1:33.427,,16
17,17,Sergio Pérez,Sauber-Ferrari,1:34.704,no time,,17
18,20,Heikki Kovalainen,Lotus-Renault,1:35.454,,,18
19,21,Jarno Trulli,Lotus-Renault,1:35.514,,,19
20,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:36.439,,,20
21,24,Timo Glock,Virgin-Cosworth,1:36.507,,,21
22,22,Daniel Ricciardo,HRT-Cosworth,1:37.846,,,22
23,8,Nico Rosberg,Mercedes,no time,,,23
24,23,Vitantonio Liuzzi,HRT-Cosworth,no time,,,24
