Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:21.740,1:21.095,1:19.815,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:21.636,1:21.105,1:19.978,2
3,4,Jenson Button,McLaren-Mercedes,1:22.038,1:20.578,1:20.024,3
4,6,Felipe Massa,Ferrari,1:22.130,1:21.099,1:20.350,4
5,5,Fernando Alonso,Ferrari,1:21.578,1:20.262,1:20.365,5
6,2,Mark Webber,Red Bull Racing-Renault,1:22.208,1:20.890,1:20.474,6
7,8,Nico Rosberg,Mercedes,1:22.996,1:21.243,1:21.098,7
8,14,Adrian Sutil,Force India-Mercedes,1:22.237,1:22.000,1:21.445,8
9,7,Michael Schumacher,Mercedes,1:22.876,1:21.852,1:21.907,9
10,17,Sergio Pérez,Sauber-Ferrari,1:23.067,1:22.157,no time,10
11,15,Paul di Resta,Force India-Mercedes,1:22.976,1:22.256,,11
12,10,Vitaly Petrov,Renault,1:23.070,1:22.284,,12
13,16,Kamui Kobayashi,Sauber-Ferrari,1:23.278,1:22.435,,13
14,9,Nick Heidfeld,Renault,1:23.024,1:22.470,,14
15,11,Rubens Barrichello,Williams-Cosworth,1:23.075,1:22.684,,15
16,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:23.285,1:22.979,,16
17,12,Pastor Maldonado,Williams-Cosworth,1:23.847,no time,,17
18,18,Sébastien Buemi,Toro Rosso-Ferrari,1:24.070,,,23
19,20,Heikki Kovalainen,Lotus-Renault,1:24.362,,,18
20,21,Jarno Trulli,Lotus-Renault,1:24.534,,,19
21,24,Timo Glock,Virgin-Cosworth,1:26.294,,,20
22,23,Vitantonio Liuzzi,HRT-Cosworth,1:26.323,,,21
23,22,Daniel Ricciardo,HRT-Cosworth,1:26.479,,,22
24,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:26.510,,,24
