Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,2,Mark Webber,Red Bull Racing-Renault,1:33.096,1:31.311,1:30.079,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:32.934,1:30.998,1:30.134,2
3,1,Sebastian Vettel,Red Bull Racing-Renault,1:32.973,1:31.017,1:30.216,3
4,5,Fernando Alonso,Ferrari,1:32.916,1:31.150,1:30.442,4
5,6,Felipe Massa,Ferrari,1:31.826,1:31.582,1:30.910,5
6,8,Nico Rosberg,Mercedes,1:32.785,1:31.343,1:31.263,6
7,4,Jenson Button,McLaren-Mercedes,1:33.224,1:31.532,1:31.288,7
8,14,Adrian Sutil,Force India-Mercedes,1:32.286,1:31.809,1:32.010,8
9,10,Vitaly Petrov,Renault,1:33.187,1:31.985,1:32.187,9
10,7,Michael Schumacher,Mercedes,1:32.603,1:32.180,1:32.482,10
11,9,Nick Heidfeld,Renault,1:32.505,1:32.215,,11
12,15,Paul di Resta,Force India-Mercedes,1:32.651,1:32.560,,12
13,12,Pastor Maldonado,Williams-Cosworth,1:33.003,1:32.635,,13
14,11,Rubens Barrichello,Williams-Cosworth,1:33.664,1:33.043,,14
15,17,Sergio Pérez,Sauber-Ferrari,1:33.295,1:33.176,,15
EX,18,Sébastien Buemi,Toro Rosso-Ferrari,1:33.635,1:33.546,,24
16,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:33.658,1:33.698,,16
17,16,Kamui Kobayashi,Sauber-Ferrari,1:33.786,,,17
18,20,Heikki Kovalainen,Lotus-Renault,1:35.599,,,18
19,24,Timo Glock,Virgin-Cosworth,1:36.400,,,19
20,21,Karun Chandhok,Lotus-Renault,1:36.422,,,20
21,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:36.641,,,21
22,23,Vitantonio Liuzzi,HRT-Cosworth,1:37.011,,,23
23,22,Daniel Ricciardo,HRT-Cosworth,1:37.036,,,22
