Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,77,Valtteri Bottas,Mercedes,1:04.175,1:03.756,1:03.130,1
2,44,Lewis Hamilton,Mercedes,1:04.080,1:03.577,1:03.149,2
3,5,Sebastian Vettel,Ferrari,1:04.347,1:03.544,1:03.464,6
4,7,Kimi Räikkönen,Ferrari,1:04.234,1:03.975,1:03.660,3
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:04.273,1:04.001,1:03.840,4
6,8,Romain Grosjean,Haas-Ferrari,1:04.242,1:04.059,1:03.892,5
7,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:04.723,1:04.403,1:03.996,7
8,20,Kevin Magnussen,Haas-Ferrari,1:04.460,1:04.291,1:04.051,8
9,55,Carlos Sainz Jr.,Renault,1:04.948,1:04.561,1:04.725,9
10,27,Nico Hülkenberg,Renault,1:04.864,1:04.676,1:05.019,10
11,31,Esteban Ocon,Force India-Mercedes,1:05.148,1:04.845,,11
12,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:05.011,1:04.874,,12
13,16,Charles Leclerc,Sauber-Ferrari,1:04.967,1:04.979,,17
14,14,Fernando Alonso,McLaren-Renault,1:04.965,1:05.058,,PL
15,18,Lance Stroll,Williams-Mercedes,1:05.264,1:05.286,,13
16,2,Stoffel Vandoorne,McLaren-Renault,1:05.271,,,14
17,11,Sergio Pérez,Force India-Mercedes,1:05.279,,,15
18,35,Sergey Sirotkin,Williams-Mercedes,1:05.322,,,16
19,28,Brendon Hartley,Scuderia Toro Rosso-Honda,1:05.366,,,19
20,9,Marcus Ericsson,Sauber-Ferrari,1:05.479,,,18
