Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:26.818,1:26.256,1:25.892,1
2,5,Sebastian Vettel,Ferrari,1:26.585,1:26.372,1:25.936,2
3,7,Kimi Räikkönen,Ferrari,1:27.549,1:26.483,1:25.990,3
4,77,Valtteri Bottas,Mercedes,1:27.025,1:26.413,1:26.217,4
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:27.309,1:27.013,1:26.602,5
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:27.979,1:27.369,1:27.099,6
7,20,Kevin Magnussen,Haas-Ferrari,1:28.143,1:27.730,1:27.244,7
8,8,Romain Grosjean,Haas-Ferrari,1:28.086,1:27.522,1:27.455,8
9,16,Charles Leclerc,Sauber-Ferrari,1:27.962,1:27.790,1:27.879,9
10,31,Esteban Ocon,Force India-Mercedes,1:28.279,1:27.843,1:28.194,10
11,27,Nico Hülkenberg,Renault,1:28.017,1:27.901,,11
12,11,Sergio Pérez,Force India-Mercedes,1:28.210,1:27.928,,12
13,14,Fernando Alonso,McLaren-Renault,1:28.187,1:28.139,,13
14,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:28.399,1:28.343,,14
15,9,Marcus Ericsson,Sauber-Ferrari,1:28.249,1:28.391,,15
16,55,Carlos Sainz Jr.,Renault,1:28.456,,,16
17,2,Stoffel Vandoorne,McLaren-Renault,1:29.096,,,17
18,35,Sergey Sirotkin,Williams-Mercedes,1:29.252,,,PL
—,18,Lance Stroll,Williams-Mercedes,No time,,,PL
—,28,Brendon Hartley,Scuderia Toro Rosso-Honda,No time,,,PL
