Pos.,No.,Driver,Entrant,Time,GridSR,GridFR
1,11,Felipe Drugovich,MP Motorsport,1:20.713,10,1
2,3,Jack Doohan,Virtuosi Racing,+0.226,9,2
3,6,Logan Sargeant,Carlin,+0.528,8,3
4,20,Richard Verschoor,Trident,+0.529,7,4
5,17,Ayumu Iwasa,DAMS,+0.530,6,5
6,5,Liam Lawson,Carlin,+0.568,5,6
7,1,Dennis Hauger,Prema Racing,+0.634,4,7
8,8,Jüri Vips,Hitech Grand Prix,+0.730,3,8
9,7,Marcus Armstrong,Hitech Grand Prix,+0.741,2,9
10,12,Clément Novalak,MP Motorsport,+0.846,1,10
11,9,Frederik Vesti,ART Grand Prix,+0.867,11,11
12,25,Amaury Cordeel,Van Amersfoort Racing,+0.906,12,12
13,22,Enzo Fittipaldi,Charouz Racing System,+1.020,13,13
14,16,Roy Nissany,DAMS,+1.025,14,14
15,4,Marino Sato,Virtuosi Racing,+1.210,15,15
16,10,Théo Pourchaire,ART Grand Prix,+1.271,16,16
17,2,Jehan Daruvala,Prema Racing,+1.294,17,17
18,24,David Beckmann,Van Amersfoort Racing,+1.362,18,18
19,14,Olli Caldwell,Campos Racing,+1.371,19,19
20,21,Calan Williams,Trident,+1.409,20,20
21,15,Ralph Boschung,Campos Racing,+1.686,21,21
22,23,Tatiana Calderón,Charouz Racing System,+2.400,22,22
