Pos.,No.,Driver,Entrant,Time,GridSR,GridFR
1,3,Jack Doohan,Virtuosi Racing,1:40.542,10,1
2,10,Théo Pourchaire,ART Grand Prix,+0.141,9,2
3,8,Jüri Vips,Hitech Grand Prix,+0.213,8,3
4,6,Logan Sargeant,Carlin,+0.218,7,4
5,15,Ralph Boschung,Campos Racing,+0.458,6,5
6,5,Liam Lawson,Carlin,+0.558,5,6
7,2,Jehan Daruvala,Prema Racing,+0.573,4,7
8,24,Jake Hughes,Van Amersfoort Racing,+0.579,3,8
9,20,Richard Verschoor,Trident,+0.636,2,9
10,11,Felipe Drugovich,MP Motorsport,+0.668,1,10
11,16,Roy Nissany,DAMS,+0.676,11,11
12,21,Calan Williams,Trident,+0.771,12,12
13,7,Marcus Armstrong,Hitech Grand Prix,+0.822,13,13
14,4,Marino Sato,Virtuosi Racing,+0.832,14,14
15,1,Dennis Hauger,Prema Racing,+0.967,15,15
16,22,Enzo Fittipaldi,Charouz Racing System,+0.987,16,16
17,14,Olli Caldwell,Campos Racing,+1.210,17,17
18,12,Clément Novalak,MP Motorsport,+1.323,18,18
19,9,Frederik Vesti,ART Grand Prix,+1.541,19,19
20,23,Cem Bölükbaşı,Charouz Racing System,+1.547,20,20
21,25,Amaury Cordeel,Van Amersfoort Racing,+2.338,21,21
—,17,Ayumu Iwasa,DAMS,No time set,22,22
