Pos.,No.,Driver,Team,Time,Gap,Grid
1,3,George Russell,ART Grand Prix,1:19.114,,1
2,1,Jack Aitken,ART Grand Prix,1:19.186,+0.072,2
3,12,Dorian Boccolacci,Trident,1:19.255,+0.141,3
4,6,Leonardo Pulcini,Arden International,1:19.258,+0.144,4
5,7,Steijn Schothorst,Arden International,1:19.292,+0.178,5
6,10,Giuliano Alesi,Trident,1:19.412,+0.298,6
7,11,Ryan Tveter,Trident,1:19.425,+0.311,7
8,4,Anthoine Hubert,ART Grand Prix,1:19.440,+0.326,8
9,5,Niko Kari,Arden International,1:19.479,+0.365,9
10,2,Nirei Fukuzumi,ART Grand Prix,1:19.484,+0.370,10
11,22,Alessio Lorandi,Jenzer Motorsport,1:19.493,+0.379,11
12,24,Arjun Maini,Jenzer Motorsport,1:19.530,+0.416,12
13,27,Raoul Hyman,Campos Racing,1:19.561,+0.447,13
14,26,Julien Falchero,Campos Racing,1:19.596,+0.482,14
15,9,Kevin Jörg,Trident,1:19.680,+0.566,15
16,16,Bruno Baptista,DAMS,1:19.778,+0.664,16
17,14,Santino Ferrucci,DAMS,1:19.789,+0.675,17
18,28,Marcos Siebert,Campos Racing,1:19.832,+0.718,18
19,15,Tatiana Calderon,DAMS,1:19.872,+0.758,19
