Pos.,No.,Driver,Team,Time,Gap,Grid
1,1,Jack Aitken,ART Grand Prix,1:34.187,,1
2,2,Nirei Fukuzumi,ART Grand Prix,1:34.358,+0.171,2
3,12,Dorian Boccolacci,Trident,1:34.380,+0.193,3
4,3,George Russell,ART Grand Prix,1:34.468,+0.281,4
5,6,Leonardo Pulcini,Arden International,1:34.602,+0.415,5
6,24,Arjun Maini,Jenzer Motorsport,1:34.685,+0.498,6
7,10,Giuliano Alesi,Trident,1:34.708,+0.521,10
8,22,Alessio Lorandi,Jenzer Motorsport,1:34.720,+0.533,7
9,28,Marcos Siebert,Campos Racing,1:34.788,+0.601,8
10,4,Anthoine Hubert,ART Grand Prix,1:34.866,+0.679,9
11,5,Niko Kari,Arden International,1:34.964,+0.777,PL2
12,27,Raoul Hyman,Campos Racing,1:35.031,+0.844,11
13,7,Steijn Schothorst,Arden International,1:35.041,+0.854,12
14,14,Santino Ferrucci,DAMS,1:35.070,+0.883,13
15,26,Julien Falchero,Campos Racing,1:35.088,+0.901,14
16,11,Ryan Tveter,Trident,1:35.224,+1.037,15
17,9,Kevin Jörg,Trident,1:35.423,+1.236,16
18,15,Tatiana Calderon,DAMS,1:35.613,+1.426,17
19,16,Bruno Baptista,DAMS,1:35.851,+1.664,18
