Pos.,No.,Driver,Team,Time,Gap,Grid
1,3,George Russell,ART Grand Prix,1:46.608,,1
2,4,Anthoine Hubert,ART Grand Prix,1:46.714,+0.106,2
3,2,Nirei Fukuzumi,ART Grand Prix,1:46.833,+0.225,3
4,12,Dorian Boccolacci,Trident,1:47.052,+0.444,7
5,22,Alessio Lorandi,Jenzer Motorsport,1:47.082,+0.474,4
6,1,Jack Aitken,ART Grand Prix,1:47.090,+0.482,5
7,5,Niko Kari,Arden International,1:47.259,+0.651,6
8,24,Arjun Maini,Jenzer Motorsport,1:47.412,+0.804,8
9,11,Ryan Tveter,Trident,1:47.412,+0.804,9
10,26,Julien Falchero,Campos Racing,1:47.473,+0.865,10
11,27,Raoul Hyman,Campos Racing,1:47.571,+0.963,11
12,10,Giuliano Alesi,Trident,1:47.588,+0.980,12
13,9,Kevin Jörg,Trident,1:47.658,+1.050,13
14,6,Leonardo Pulcini,Arden International,1:47.677,+1.069,14
15,7,Steijn Schothorst,Arden International,1:47.823,+1.215,15
16,14,Santino Ferrucci,DAMS,1:47.898,+1.290,16
17,28,Marcos Siebert,Campos Racing,1:47.977,+1.369,17
18,16,Bruno Baptista,DAMS,1:48.544,+1.936,18
19,15,Tatiana Calderon,DAMS,1:48.893,+2.285,19
