Pos.,No.,Driver,Team,Time,Gap,Grid
1,3,George Russell,ART Grand Prix,2:27.042,,1
2,2,Nirei Fukuzumi,ART Grand Prix,2:27.316,+0.274,2
3,24,Arjun Maini,Jenzer Motorsport,2:27.741,+0.699,3
4,1,Jack Aitken,ART Grand Prix,2:28.039,+0.997,4
5,14,Matthieu Vaxivière,DAMS,2:28.474,+1.432,5
6,12,Dorian Boccolacci,Trident,2:28.593,+1.551,6
7,11,Ryan Tveter,Trident,2:28.814,+1.772,7
8,7,Steijn Schothorst,Arden International,2:28.857,+1.815,8
9,26,Julien Falchero,Campos Racing,2:29.110,+2.068,9
10,15,Tatiana Calderon,DAMS,2:29.118,+2.076,10
11,22,Alessio Lorandi,Jenzer Motorsport,2:29.267,+2.225,11
12,10,Giuliano Alesi,Trident,2:29.270,+2.228,12
13,9,Kevin Jörg,Trident,2:29.461,+2.419,13
14,28,Marcos Siebert,Campos Racing,2:29.546,+2.504,14
15,6,Leonardo Pulcini,Arden International,2:29.744,+2.702,15
16,5,Niko Kari,Arden International,2:29.766,+2.724,16
17,4,Anthoine Hubert,ART Grand Prix,2:29.882,+2.840,17
18,27,Raoul Hyman,Campos Racing,2:29.925,+2.883,18
19,16,Bruno Baptista,DAMS,2:29.981,+2.939,19
20,23,Juan Manuel Correa,Jenzer Motorsport,2:30.587,+3.545,20
