Pos,Team,Points
1,Prema Theodore Racing,1003.5
2,Motopark,789
3,Hitech Bullfrog GP,518
4,Carlin,503.5
5,Van Amersfoort Racing,141.5
6,ma-con,18
7,Fortec,4
