Team,No.,Driver name,Rounds
Lotus GP,1,Daniel Abt,All
Lotus GP,2,Conor Daly,All
Lotus GP,3,Aaro Vainio,All
MWArden,4,Mitch Evans,All
MWArden,5,David Fumanelli,All
MWArden,6,Matias Laine,All
MarussiaManor Racing,7,Dmitry Suranovich,All
MarussiaManor Racing,8,Fabiano Machado,All
MarussiaManor Racing,9,Tio Ellinas,All
Status Grand Prix,14,Marlon Stöckinger,All
Status Grand Prix,15,Kotaro Sakurai,"1–2, 4"
Status Grand Prix,15,Lewis Williamson,5–8
Status Grand Prix,16,Alice Powell,All
Ocean Racing Technology,17,Carmen Jordá,All
Ocean Racing Technology,18,Kevin Ceccon,All
Ocean Racing Technology,19,Robert Cregan,All
Jenzer Motorsport,20,Robert Visoiu,All
Jenzer Motorsport,21,Patric Niederhauser,All
Jenzer Motorsport,22,Jakub Klášterka,1–2
Jenzer Motorsport,22,Facu Regalia,4
Jenzer Motorsport,22,Alex Fontana,6–7
Trident Racing,23,Vicky Piria,All
Trident Racing,24,Antonio Spavone,1–4
Trident Racing,25,Giovanni Venturini,4–8
Carlin,26,Alex Brundle,All
Carlin,27,António Félix da Costa,All
Carlin,28,William Buller,All
AtechCRS GP,29,Tamás Pál Kiss,All
AtechCRS GP,30,John Wartique,"1–3, 7–8"
AtechCRS GP,30,Fabio Gamberini,4
AtechCRS GP,30,Facu Regalia,6
