Pos.,No.,Driver,Team,Time,Grid
1,18,Stefano Coletti,Rapax,1:44.280,1
2,3,James Calado,ART Grand Prix,1:44.284,2
3,9,Felipe Nasr,Carlin,1:44.288,3
4,8,Fabio Leimer,Racing Engineering,1:44.463,4
5,11,Sam Bird,Russian Time,1:44.598,81
6,6,Mitch Evans,Arden International,1:44.618,5
7,17,Rio Haryanto,Barwa Addax Team,1:44.681,6
8,24,René Binder,Venezuela GP Lazarus,1:44.687,7
9,19,Simon Trummer,Rapax,1:44.692,9
10,12,Tom Dillmann,Russian Time,1:44.731,10
11,7,Julián Leal,Racing Engineering,1:44.732,11
12,14,Sergio Canamasas,Caterham Racing,1:44.761,12
13,1,Marcus Ericsson,DAMS,1:44.766,13
14,5,Johnny Cecotto Jr.,Arden International,1:44.788,EX2
15,26,Adrian Quaife-Hobbs,MP Motorsport,1:45.191,14
16,2,Stéphane Richelmi,DAMS,1:45.262,15
17,22,Conor Daly,Hilmer Motorsport,1:45.289,16
18,20,Nathanaël Berthon,Trident Racing,1:45.378,17
19,21,Kevin Ceccon,Trident Racing,1:45.491,18
20,15,Ma Qinghua,Caterham Racing,1:45.497,19
21,27,Daniël de Jong,MP Motorsport,1:45.522,20
22,4,Daniel Abt,ART Grand Prix,1:45.593,21
23,10,Jolyon Palmer,Carlin,1:45.662,22
24,16,Jake Rosenzweig,Barwa Addax Team,1:45.708,23
25,23,Pål Varhaug,Hilmer Motorsport,1:45.830,24
26,19,Kevin Giovesi,Venezuela GP Lazarus,1:45.985,25
