Pos.,No.,Driver,Team,Time,Grid
1,12,Tom Dillmann,Russian Time,1:28.219,1
2,11,Sam Bird,Russian Time,1:28.296,5
3,8,Fabio Leimer,Racing Engineering,1:28.507,2
4,9,Felipe Nasr,Carlin,1:28.679,3
5,1,Marcus Ericsson,DAMS,1:28.709,4
6,2,Stephane Richelmi,DAMS,1:28.753,6
7,10,Jolyon Palmer,Carlin,1:28.802,7
8,17,Rio Haryanto,Barwa Addax Team,1:28.826,8
9,15,Alexander Rossi,Caterham Racing,1:28.851,9
10,27,Daniel de Jong,MP Motorsport,1:28.855,PL
11,5,Johnny Cecotto Jr.,Arden International,1:28.927,10
12,6,Mitch Evans,Arden International,1:29.012,11
13,20,Nathanael Berthon,Trident Racing,1:29.020,12
14,3,James Calado,ART Grand Prix,1:29.128,13
15,23,Jon Lancaster,Hilmer Motorsport,1:29.136,14
16,16,Jake Rosenzweig,Barwa Addax Team,1:29.206,15
17,19,Simon Trummer,Rapax,1:29.403,16
18,18,Stefano Coletti,Rapax,1:29.519,17
19,7,Julián Leal,Racing Engineering,1:29.524,18
20,4,Daniel Abt,ART Grand Prix,1:29.735,19
21,24,Rene Binder,Venezuela GP Lazarus,1:29.742,20
22,26,Adrian Quaife-Hobbs,Hilmer Motorsport,1:29.793,21
23,26,Dani Clos,MP Motorsport,1:29.877,PL
24,14,Sergio Canamasas,Caterham Racing,1:30.078,22
25,25,Vittorio Ghirelli,Venezuela GP Lazarus,1:30.251,24
26,21,Ricardo Teixeira,Trident Racing,1:31.254,23
