Pos.,No.,Driver,Team,Time,Grid
1,11,Sam Bird,Russian Time,1:31.788,1
2,8,Fabio Leimer,Racing Engineering,1:31.822,2
3,10,Jolyon Palmer,Carlin,1:31.843,3
4,1,Marcus Ericsson,DAMS,1:31.915,4
5,12,Tom Dillmann,Russian Time,1:31.949,5
6,18,Stefano Coletti,Rapax,1:31.993,6
7,26,Dani Clos,MP Motorsport,1:32.024,26
8,3,James Calado,ART Grand Prix,1:32.033,7
9,16,Jake Rosenzweig,Barwa Addax Team,1:32.100,8
10,19,Simon Trummer,Rapax,1:32.164,9
11,2,Stephane Richelmi,DAMS,1:32.168,10
12,9,Felipe Nasr,Carlin,1:32.381,11
13,17,Rio Haryanto,Barwa Addax Team,1:32.384,12
14,7,Julián Leal,Racing Engineering,1:32.398,13
15,15,Alexander Rossi,Caterham Racing,1:32.447,14
16,22,Adrian Quaife-Hobbs,Hilmer Motorsport,1:32.462,15
17,6,Mitch Evans,Arden International,1:32.481,16
18,23,Jon Lancaster,Hilmer Motorsport,1:32.482,25
19,20,Nathanael Berthon,Trident Racing,1:32.554,17
20,4,Daniel Abt,ART Grand Prix,1:32.627,18
21,5,Johnny Cecotto Jr.,Arden International,1:32.650,19
22,27,Daniel de Jong,MP Motorsport,1:32.751,20
23,21,Sergio Campana,Trident Racing,1:33.195,21
24,24,Rene Binder,Venezuela GP Lazarus,1:33.292,22
25,25,Vittorio Ghirelli,Venezuela GP Lazarus,1:33.405,23
26,14,Sergio Canamasas,Caterham Racing,1:34.963,24
