Pos.,No.,Driver,Team,Time,Grid
1,10,Jolyon Palmer,Carlin,1:53.600,1
2,9,Felipe Nasr,Carlin,1:53.852,2
3,8,Fabio Leimer,Racing Engineering,1:53.870,3
4,15,Alexander Rossi,Caterham Racing,1:54.285,4
5,2,Stephane Richelmi,DAMS,1:54.403,5
6,12,Tom Dillmann,Russian Time,1:54.695,6
7,14,Sergio Canamasas,Caterham Racing,1:54.812,7
8,3,James Calado,ART Grand Prix,1:54.822,8
9,1,Marcus Ericsson,DAMS,1:54.987,9
10,11,Sam Bird,Russian Time,1:55.163,10
11,18,Stefano Coletti,Rapax,1:55.251,11
12,7,Julián Leal,Racing Engineering,1:55.268,14
13,20,Nathanael Berthon,Trident Racing,1:55.567,12
14,5,Johnny Cecotto Jr.,Arden International,1:55.683,16
15,26,Dani Clos,MP Motorsport,1:55.784,13
16,24,Rene Binder,Venezuela GP Lazarus,1:55.880,15
17,4,Daniel Abt,ART Grand Prix,1:56.048,17
18,22,Adrian Quaife-Hobbs,Hilmer Motorsport,1:56.057,18
19,16,Jake Rosenzweig,Barwa Addax Team,1:56.114,19
20,23,Jon Lancaster,Hilmer Motorsport,1:56.210,20
21,25,Vittorio Ghirelli,Venezuela GP Lazarus,1:56.333,21
22,17,Rio Haryanto,Barwa Addax Team,1:56.753,22
23,19,Simon Trummer,Rapax,1:57.153,23
24,27,Daniel de Jong,MP Motorsport,1:57.560,24
25,21,Gianmarco Raimondo,Trident Racing,1:57.837,25
26,6,Mitch Evans,Arden International,2:29.069,26
