Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,10,Lewis Hamilton,Mercedes,1:35.793,1:35.078,1:34.484,1
2,7,Kimi Räikkönen,Lotus-Renault,1:37.046,1:35.659,1:34.761,2
3,3,Fernando Alonso,Ferrari,1:36.253,1:35.148,1:34.788,3
4,9,Nico Rosberg,Mercedes,1:35.959,1:35.537,1:34.861,4
5,4,Felipe Massa,Ferrari,1:35.972,1:35.403,1:34.933,5
6,8,Romain Grosjean,Lotus-Renault,1:36.929,1:36.065,1:35.364,6
7,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:36.993,1:36.258,1:35.998,7
8,5,Jenson Button,McLaren-Mercedes,1:36.667,1:35.784,2:05.673,8
9,1,Sebastian Vettel,Red Bull-Renault,1:36.537,1:35.343,no time,9
10,11,Nico Hülkenberg,Sauber-Ferrari,1:36.985,1:36.261,no time,10
11,14,Paul di Resta,Force India-Mercedes,1:37.478,1:36.287,,11
12,6,Sergio Pérez,McLaren-Mercedes,1:36.952,1:36.314,,12
13,15,Adrian Sutil,Force India-Mercedes,1:37.349,1:36.405,,13
14,16,Pastor Maldonado,Williams-Renault,1:37.281,1:37.139,,14
15,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:37.508,1:37.199,,15
16,17,Valtteri Bottas,Williams-Renault,1:37.769,,,16
17,12,Esteban Gutiérrez,Sauber-Ferrari,1:37.990,,,17
18,22,Jules Bianchi,Marussia-Cosworth,1:38.780,,,18
19,23,Max Chilton,Marussia-Cosworth,1:39.537,,,19
20,20,Charles Pic,Caterham-Renault,1:39.614,,,20
21,21,Giedo van der Garde,Caterham-Renault,1:39.660,,,21
EX,2,Mark Webber,Red Bull-Renault,1:36.148,1:36.679,,PL
