Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:37.899,1:37.245,1:49.674,1
2,4,Felipe Massa,Ferrari,1:37.712,1:36.874,1:50.587,2
3,3,Fernando Alonso,Ferrari,1:37.314,1:36.877,1:50.727,3
4,10,Lewis Hamilton,Mercedes,1:37.513,1:36.517,1:51.699,4
5,2,Mark Webber,Red Bull-Renault,1:37.619,1:36.449,1:52.244,5
6,9,Nico Rosberg,Mercedes,1:37.239,1:36.190,1:52.519,6
7,7,Kimi Räikkönen,Lotus-Renault,1:36.959,1:36.640,1:52.970,10
8,5,Jenson Button,McLaren-Mercedes,1:37.487,1:37.117,1:53.175,7
9,15,Adrian Sutil,Force India-Mercedes,1:36.809,1:36.834,1:53.439,8
10,6,Sergio Pérez,McLaren-Mercedes,1:37.702,1:37.342,1:54.136,9
11,8,Romain Grosjean,Lotus-Renault,1:37.363,1:37.636,N/A,11
12,11,Nico Hülkenberg,Sauber-Ferrari,1:37.931,1:38.125,N/A,12
13,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:37.722,1:38.822,N/A,13
14,12,Esteban Gutiérrez,Sauber-Ferrari,1:37.707,1:39.221,N/A,14
15,14,Paul di Resta,Force India-Mercedes,1:37.493,1:44.509,N/A,15
16,16,Pastor Maldonado,Williams-Renault,1:37.867,No time,N/A,16
17,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:38.157,N/A,N/A,17
18,17,Valtteri Bottas,Williams-Renault,1:38.207,N/A,N/A,18
19,22,Jules Bianchi,Marussia-Cosworth,1:38.434,N/A,N/A,19
20,20,Charles Pic,Caterham-Renault,1:39.314,N/A,N/A,20
21,23,Max Chilton,Marussia-Cosworth,1:39.672,N/A,N/A,21
22,21,Giedo van der Garde,Caterham-Renault,1:39.932,N/A,N/A,22
