Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,10,Lewis Hamilton,Mercedes,1:30.995,1:31.224,1:29.607,1
2,9,Nico Rosberg,Mercedes,1:31.355,1:31.028,1:30.059,2
3,1,Sebastian Vettel,Red Bull-Renault,1:31.559,1:30.990,1:30.211,3
4,2,Mark Webber,Red Bull-Renault,1:31.605,1:31.002,1:30.220,4
5,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:32.097,1:31.182,1:30.757,5
6,15,Adrian Sutil,Force India-Mercedes,1:32.002,1:31.097,1:30.908,6
7,8,Romain Grosjean,Lotus-Renault,1:31.466,1:31.530,1:30.955,7
8,7,Kimi Räikkönen,Lotus-Renault,1:31.400,1:31.592,1:30.962,8
9,3,Fernando Alonso,Ferrari,1:32.266,1:31.387,1:30.979,9
10,5,Jenson Button,McLaren-Mercedes,1:31.979,1:31.649,N/A,10
11,4,Felipe Massa,Ferrari,1:32.241,1:31.779,N/A,11
12,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:32.105,1:31.785,N/A,12
13,6,Sergio Pérez,McLaren-Mercedes,1:31.953,1:32.082,N/A,13
14,11,Nico Hülkenberg,Sauber-Ferrari,1:32.168,1:32.211,N/A,14
15,16,Pastor Maldonado,Williams-Renault,1:32.512,1:32.359,N/A,15
16,17,Valtteri Bottas,Williams-Renault,1:32.664,N/A,N/A,16
17,12,Esteban Gutiérrez,Sauber-Ferrari,1:32.666,N/A,N/A,17
18,20,Charles Pic,Caterham-Renault,1:33.866,N/A,N/A,18
19,22,Jules Bianchi,Marussia-Cosworth,1:34.108,N/A,N/A,19
20,21,Giedo van der Garde,Caterham-Renault,1:35.481,N/A,N/A,22
21,23,Max Chilton,Marussia-Cosworth,1:35.858,N/A,N/A,20
EX,14,Paul di Resta,Force India-Mercedes,1:32.062,1:31.291,1:30.736,21
