Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,9,Nico Rosberg,Mercedes,1:24.620,1:16.135,1:13.876,1
2,10,Lewis Hamilton,Mercedes,1:23.779,1:16.265,1:13.967,2
3,1,Sebastian Vettel,Red Bull-Renault,1:24.243,1:15.988,1:13.980,3
4,2,Mark Webber,Red Bull-Renault,1:25.352,1:17.322,1:14.181,4
5,7,Kimi Räikkönen,Lotus-Renault,1:25.835,1:16.040,1:14.822,5
6,3,Fernando Alonso,Ferrari,1:23.712,1:16.510,1:14.824,6
7,6,Sergio Pérez,McLaren-Mercedes,1:24.682,1:17.748,1:15.138,7
8,15,Adrian Sutil,Force India-Mercedes,1:25.108,1:17.261,1:15.383,8
9,5,Jenson Button,McLaren-Mercedes,1:23.744,1:17.420,1:15.647,9
10,18,Jean-Éric Vergne,Toro Rosso-Ferrari,1:23.699,1:17.623,1:15.703,10
11,11,Nico Hülkenberg,Sauber-Ferrari,1:25.547,1:18.331,,11
12,19,Daniel Ricciardo,Toro Rosso-Ferrari,1:24.852,1:18.344,,12
13,8,Romain Grosjean,Lotus-Renault,1:23.738,1:18.603,,13
14,17,Valtteri Bottas,Williams-Renault,1:24.681,1:19.077,,14
15,21,Giedo van der Garde,Caterham-Renault,1:26.095,1:19.408,,15
16,16,Pastor Maldonado,Williams-Renault,1:23.452,1:21.688,,16
17,14,Paul di Resta,Force India-Mercedes,1:26.322,,,17
18,20,Charles Pic,Caterham-Renault,1:26.633,,,18
19,12,Esteban Gutiérrez,Sauber-Ferrari,1:26.917,,,19
20,23,Max Chilton,Marussia-Cosworth,1:27.303,,,22
21,22,Jules Bianchi,Marussia-Cosworth,no time,,,20
22,4,Felipe Massa,Ferrari,no time,,,21
