Pos.,No.,Driver,Team,Time,Gap,Grid
1,8,David Beckmann,Trident,2:04.335,,1
2,2,Anthoine Hubert,ART Grand Prix,2:04.479,+0.144,2
3,5,Pedro Piquet,Trident,2:04.529,+0.194,3
4,4,Jake Hughes,ART Grand Prix,2:04.530,+0.195,4
5,3,Nikita Mazepin,ART Grand Prix,2:04.538,+0.203,5
6,1,Callum Ilott,ART Grand Prix,2:04.549,+0.214,6
7,19,Simo Laaksonen,Campos Racing,2:04.633,+0.298,7
8,7,Ryan Tveter,Trident,2:04.677,+0.342,8
9,6,Giuliano Alesi,Trident,2:04.685,+0.350,9
10,16,Joey Mawson,Arden International,2:04.712,+0.377,10
11,9,Tatiana Calderón,Jenzer Motorsport,2:04.804,+0.469,11
12,18,Leonardo Pulcini,Campos Racing,2:04.945,+0.610,12
13,10,Juan Manuel Correa,Jenzer Motorsport,2:05.068,+0.733,13
14,14,Gabriel Aubry,Arden International,2:05.135,+0.800,14
15,22,Richard Verschoor,MP Motorsport,2:05.269,+0.934,15
16,15,Julien Falchero,Arden International,2:05.278,+0.943,16
17,24,Niko Kari,MP Motorsport,2:05.296,+0.961,17
18,20,Diego Menchaca,Campos Racing,2:05.782,+1.447,18
19,23,Devlin DeFrancesco,MP Motorsport,2:05.974,+1.639,19
20,11,Jannes Fittje,Jenzer Motorsport,2:06.036,+1.701,20
