Pos.,No.,Driver,Team,Time,Gap,Grid
1,22,Dorian Boccolacci,MP Motorsport,1:50.615,,1
2,2,Anthoine Hubert,ART Grand Prix,1:50.697,+0.082,2
3,6,Giuliano Alesi,Trident,1:50.708,+0.093,3
4,3,Nikita Mazepin,ART Grand Prix,1:50.861,+0.246,4
5,18,Leonardo Pulcini,Campos Racing,1:50.880,+0.265,5
6,24,Niko Kari,MP Motorsport,1:50.900,+0.285,6
7,1,Callum Ilott,ART Grand Prix,1:50.904,+0.289,7
8,8,Alessio Lorandi,Trident,1:51.108,+0.493,8
9,5,Pedro Piquet,Trident,1:51.134,+0.519,9
10,16,Joey Mawson,Arden International,1:51.180,+0.565,10
11,23,Christian Lundgaard,MP Motorsport,1:51.266,+0.651,11
12,4,Jake Hughes,ART Grand Prix,1:51.308,+0.693,12
13,9,Tatiana Calderón,Jenzer Motorsport,1:51.338,+0.723,13
14,11,David Beckmann,Jenzer Motorsport,1:51.409,+0.794,14
15,7,Ryan Tveter,Trident,1:51.450,+0.835,15
16,10,Juan Manuel Correa,Jenzer Motorsport,1:51.470,+0.855,16
17,19,Simo Laaksonen,Campos Racing,1:51.614,+0.999,17
18,14,Gabriel Aubry,Arden International,1:51.631,+1.016,18
19,15,Julien Falchero,Arden International,1:51.758,+1.143,19
20,20,Diego Menchaca,Campos Racing,1:51.797,+1.182,20
