Pos.,No.,Driver,Team,Time,Gap,Grid
1,3,Nikita Mazepin,ART Grand Prix,1:54.885,,1
2,18,Leonardo Pulcini,Campos Racing,1:54.952,+0.067,2
3,2,Anthoine Hubert,ART Grand Prix,1:55.041,+0.156,3
4,4,Jake Hughes,ART Grand Prix,1:55.068,+0.183,4
5,1,Callum Ilott,ART Grand Prix,1:55.098,+0.213,5
6,8,David Beckmann,Trident,1:55.178,+0.293,6
7,6,Giuliano Alesi,Trident,1:55.345,+0.460,7
8,7,Ryan Tveter,Trident,1:55.511,+0.626,8
9,19,Simo Laaksonen,Campos Racing,1:55.525,+0.640,9
10,10,Juan Manuel Correa,Jenzer Motorsport,1:55.535,+0.650,10
11,5,Pedro Piquet,Trident,1:55.589,+0.704,11
12,22,Richard Verschoor,MP Motorsport,1:55.597,+0.712,12
13,11,Jannes Fittje,Jenzer Motorsport,1:55.782,+0.897,13
14,9,Tatiana Calderón,Jenzer Motorsport,1:55.789,+0.904,14
15,24,Jehan Daruvala,MP Motorsport,1:55.828,+0.943,15
16,14,Gabriel Aubry,Arden International,1:55.836,+0.951,16
17,20,Diego Menchaca,Campos Racing,1:55.914,+1.029,17
18,15,Sacha Fenestraz,Arden International,1:55.985,+1.100,18
19,23,Devlin DeFrancesco,MP Motorsport,1:56.142,+1.257,19
20,16,Joey Mawson,Arden International,1:56.276,+1.391,20
