Pos.,No.,Driver,Team,Time,Gap,Grid
1,18,Leonardo Pulcini,Campos Racing,1:32.258,,1
2,3,Nikita Mazepin,ART Grand Prix,1:32.315,+0.057,2
3,2,Anthoine Hubert,ART Grand Prix,1:32.405,+0.147,3
4,1,Callum Ilott,ART Grand Prix,1:32.550,+0.292,4
5,24,Niko Kari,MP Motorsport,1:32.590,+0.342,5
6,22,Dorian Boccolacci,MP Motorsport,1:32.606,+0.348,6
7,19,Simo Laaksonen,Campos Racing,1:32.774,+0.516,7
8,11,David Beckmann,Jenzer Motorsport,1:32.796,+0.538,8
9,8,Alessio Lorandi,Trident,1:32.802,+0.544,9
10,6,Giuliano Alesi,Trident,1:32.829,+0.571,10
11,4,Jake Hughes,ART Grand Prix,1:32.855,+0.597,11
12,10,Juan Manuel Correa,Jenzer Motorsport,1:32.894,+0.636,12
13,5,Pedro Piquet,Trident,1:32.953,+0.695,13
14,9,Tatiana Calderón,Jenzer Motorsport,1:32.955,+0.697,14
15,15,Julien Falchero,Arden International,1:33.099,+0.841,15
16,20,Diego Menchaca,Campos Racing,1:33.135,+0.877,16
17,16,Joey Mawson,Arden International,1:33.168,+0.910,17
18,14,Gabriel Aubry,Arden International,1:33.252,+0.994,18
19,7,Ryan Tveter,Trident,1:33.665,+1.407,19
20,23,Will Palmer,MP Motorsport,1:33.710,+1.452,20
