Team,No.,Driver,Rounds
InfinitiRed Bull Racing Renault,1,Sebastian Vettel,All
InfinitiRed Bull Racing Renault,2,Mark Webber,All
Scuderia Ferrari,3,Fernando Alonso,All
Scuderia Ferrari,4,Felipe Massa,All
VodafoneMcLaren Mercedes,5,Jenson Button,All
VodafoneMcLaren Mercedes,6,Sergio Pérez,All
Lotus F1 Team,7,Kimi Räikkönen,1–17
Lotus F1 Team,7,Heikki Kovalainen,18–19
Lotus F1 Team,8,Romain Grosjean,All
Mercedes AMGPetronasF1 Team,9,Nico Rosberg,All
Mercedes AMGPetronasF1 Team,10,Lewis Hamilton,All
Sauber F1 Team,11,Nico Hülkenberg,All
Sauber F1 Team,12,Esteban Gutiérrez,All
SaharaForce India F1 Team,14,Paul di Resta,All
SaharaForce India F1 Team,15,Adrian Sutil,All
Williams F1 Team,16,Pastor Maldonado,All
Williams F1 Team,17,Valtteri Bottas,All
Scuderia Toro Rosso,18,Jean-Éric Vergne,All
Scuderia Toro Rosso,19,Daniel Ricciardo,All
Caterham F1 Team,20,Charles Pic,All
Caterham F1 Team,21,Giedo van der Garde,All
Marussia F1 Team,22,Jules Bianchi,All
Marussia F1 Team,23,Max Chilton,All
