Pos.,No.,Driver,Team,Time,Grid
1,17,Paul Aron,Hitech Pulse-Eight,1:35.115,1
2,10,Gabriel Bortoleto,Invicta Racing,1:35.450,2
3,1,Victor Martins,ART Grand Prix,1:35.570,3
4,8,Dino Beganovic,DAMS Lucas Oil,1:35.772,4
5,11,Richard Verschoor,MP Motorsport,1:35.847,5
6,7,Jak Crawford,DAMS Lucas Oil,1:36.095,6
7,9,Kush Maini,Invicta Racing,1:36.100,7
8,12,Oliver Goethe,MP Motorsport,1:36.151,8
9,20,Isack Hadjar,Campos Racing,1:36.187,9
10,3,Oliver Bearman,Prema Racing,1:36.214,10
11,4,Andrea Kimi Antonelli,Prema Racing,1:36.436,11
12,21,Pepe Martí,Campos Racing,1:36.476,12
13,22,Max Esterson,Trident,1:36.725,13
14,2,Luke Browning,ART Grand Prix,1:36.729,14
15,6,Ritomo Miyata,Rodin Motorsport,1:36.756,15
16,24,Joshua Dürksen,AIX Racing,1:36.845,16
17,5,Zane Maloney,Rodin Motorsport,1:36.861,17
18,16,Amaury Cordeel,Hitech Pulse-Eight,1:37.041,18
19,14,John Bennett,Van Amersfoort Racing,1:37.278,19
20,23,Christian Mansell,Trident,1:37.389,20
21,15,Rafael Villagómez,Van Amersfoort Racing,1:38.052,21
22,25,Cian Shields,AIX Racing,1:38.336,22
