Pos.,No.,Driver,Team,Time,Grid
1,11,Dennis Hauger,MP Motorsport,1:15.487,1
2,24,Joshua Dürksen,AIX Racing,1:15.495,2
3,10,Gabriel Bortoleto,Invicta Racing,1:15.601,3
4,12,Franco Colapinto,MP Motorsport,1:15.648,4
5,17,Paul Aron,Hitech Pulse-Eight,1:15.721,5
6,25,Taylor Barnard,AIX Racing,1:15.807,6
7,20,Isack Hadjar,Campos Racing,1:15.828,7
8,21,Pepe Martí,Campos Racing,1:15.893,8
9,3,Oliver Bearman,Prema Racing,1:15.900,9
10,9,Kush Maini,Invicta Racing,1:15.911,10
11,16,Amaury Cordeel,Hitech Pulse-Eight,1:15.920,11
12,2,Zak O'Sullivan,ART Grand Prix,1:15.969,12
13,1,Victor Martins,ART Grand Prix,1:15.995,13
14,7,Jak Crawford,DAMS Lucas Oil,1:16.007,14
15,14,Enzo Fittipaldi,Van Amersfoort Racing,1:16.047,15
16,4,Andrea Kimi Antonelli,Prema Racing,1:16.158,16
17,22,Richard Verschoor,Trident,1:16.217,17
18,15,Rafael Villagómez,Van Amersfoort Racing,1:16.270,18
19,8,Juan Manuel Correa,DAMS Lucas Oil,1:16.290,19
20,5,Zane Maloney,Rodin Motorsport,1:16.292,20
21,6,Ritomo Miyata,Rodin Motorsport,1:16.348,21
22,23,Roman Staněk,Trident,1:16.462,22
