Pos.,No.,Driver,Team,Time,Grid
1,22,Richard Verschoor,Trident,1:54.857,1
2,4,Andrea Kimi Antonelli,Prema Racing,1:54.874,2
3,1,Victor Martins,ART Grand Prix,1:55.102,3
4,5,Zane Maloney,Rodin Motorsport,1:55.128,4
5,9,Kush Maini,Invicta Racing,1:55.174,5
6,10,Gabriel Bortoleto,Invicta Racing,1:55.330,6
7,24,Joshua Dürksen,AIX Racing,1:55.331,7
8,3,Gabriele Minì,Prema Racing,1:55.442,8
9,7,Jak Crawford,DAMS Lucas Oil,1:55.634,9
10,23,Christian Mansell,Trident,1:55.645,10
11,2,Luke Browning,ART Grand Prix,1:55.724,11
12,17,Paul Aron,Hitech Pulse-Eight,1:55.938,12
13,11,Dennis Hauger,MP Motorsport,1:56.136,13
14,8,Juan Manuel Correa,DAMS Lucas Oil,1:56.253,14
15,14,Enzo Fittipaldi,Van Amersfoort Racing,1:56.686,15
16,6,Ritomo Miyata,Rodin Motorsport,1:56.696,16
17,12,Oliver Goethe,MP Motorsport,1:56.708,17
18,16,Amaury Cordeel,Hitech Pulse-Eight,1:56.711,18
19,15,Rafael Villagómez,Van Amersfoort Racing,1:56.887,19
20,20,Isack Hadjar,Campos Racing,1:56.893,20
21,21,Pepe Martí,Campos Racing,1:57.218,21
22,25,Niels Koolen,AIX Racing,2:01.644,22
