Pos.,No.,Driver,Team,Time,Grid
1,10,Gabriel Bortoleto,Invicta Racing,1:27.056,1
2,3,Oliver Bearman,Prema Racing,1:27.111,2
3,20,Isack Hadjar,Campos Racing,1:27.272,3
4,4,Andrea Kimi Antonelli,Prema Racing,1:27.320,4
5,24,Joshua Dürksen,AIX Racing,1:27.384,5
6,5,Zane Maloney,Rodin Motorsport,1:27.428,6
7,23,Roman Staněk,Trident,1:27.467,7
8,17,Paul Aron,Hitech Pulse-Eight,1:27.475,8
9,12,Franco Colapinto,MP Motorsport,1:27.614,9
10,16,Amaury Cordeel,Hitech Pulse-Eight,1:27.663,10
11,14,Enzo Fittipaldi,Van Amersfoort Racing,1:27.739,11
12,25,Taylor Barnard,AIX Racing,1:27.774,12
13,11,Dennis Hauger,MP Motorsport,1:27.795,13
14,21,Pepe Martí,Campos Racing,1:27.802,14
15,22,Richard Verschoor,Van Amersfoort Racing,1:27.886,15
16,6,Ritomo Miyata,Rodin Motorsport,1:28.050,16
17,9,Kush Maini,Invicta Racing,1:28.061,17
18,2,Zak O'Sullivan,ART Grand Prix,1:28.128,18
19,15,Rafael Villagómez,Van Amersfoort Racing,1:28.131,19
20,8,Juan Manuel Correa,DAMS Lucas Oil,1:28.192,20
21,7,Jak Crawford,DAMS Lucas Oil,1:28.283,21
22,1,Victor Martins,ART Grand Prix,1:28.569,22
