Pos.,No.,Driver,Team,Time,Grid
1,20,Isack Hadjar,Campos Racing,1:39.368,1
2,1,Victor Martins,ART Grand Prix,+0.251,2
3,11,Dennis Hauger,MP Motorsport,+0.320,3
4,12,Franco Colapinto,MP Motorsport,+0.343,4
5,3,Oliver Bearman,Prema Racing,+0.358,5
6,10,Gabriel Bortoleto,Invicta Racing,+0.433,6
7,7,Jak Crawford,DAMS Lucas Oil,+0.458,7
8,9,Kush Maini,Invicta Racing,+0.488,8
9,5,Zane Maloney,Rodin Motorsport,+0.633,9
10,4,Andrea Kimi Antonelli,Prema Racing,+0.801,10
11,6,Ritomo Miyata,Rodin Motorsport,+0.808,11
12,17,Paul Aron,Hitech Pulse-Eight,+0.813,12
13,22,Richard Verschoor,Trident,+0.919,13
14,2,Zak O'Sullivan,ART Grand Prix,+1.069,14
15,8,Juan Manuel Correa,DAMS Lucas Oil,+1.119,15
16,24,Joshua Dürksen,AIX Racing,+1.163,16
17,15,Rafael Villagómez,Van Amersfoort Racing,+1.231,17
18,16,Amaury Cordeel,Hitech Pulse-Eight,+1.245,18
19,21,Pepe Martí,Campos Racing,+1.324,19
20,14,Enzo Fittipaldi,Van Amersfoort Racing,+1.337,20
21,25,Taylor Barnard,AIX Racing,+1.358,21
22,23,Roman Staněk,Trident,+2.257,22
