Pos.,No.,Driver,Team,Time,Grid
1,11,Dennis Hauger,MP Motorsport,1:28.694,1
2,4,Andrea Kimi Antonelli,Prema Racing,1:29.038,2
3,22,Richard Verschoor,Trident,1:29.173,3
4,9,Kush Maini,Invicta Racing,1:29.313,4
5,5,Zane Maloney,Rodin Motorsport,1:29.374,5
6,17,Paul Aron,Hitech Pulse-Eight,1:29.385,6
7,21,Pepe Martí,Campos Racing,1:29.429,7
8,20,Isack Hadjar,Campos Racing,1:29.470,8
9,10,Gabriel Bortoleto,Invicta Racing,1:29.502,9
10,23,Roman Staněk,Trident,1:29.594,10
11,2,Zak O'Sullivan,ART Grand Prix,1:29.632,11
12,6,Ritomo Miyata,Rodin Motorsport,1:29.702,12
13,12,Franco Colapinto,MP Motorsport,1:29.972,13
14,24,Joshua Dürksen,PHM AIX Racing,1:30.005,14
15,25,Taylor Barnard,PHM AIX Racing,1:30.232,15
16,3,Oliver Bearman,Prema Racing,1:30.570,16
17,15,Rafael Villagómez,Van Amersfoort Racing,1:31.083,17
18,14,Enzo Fittipaldi,Van Amersfoort Racing,1:31.578,18
19,16,Amaury Cordeel,Hitech Pulse-Eight,1:31.741,19
20,8,Juan Manuel Correa,DAMS Lucas Oil,1:31.828,20
—,7,Jak Crawford,DAMS Lucas Oil,1:55.308,21
—,1,Victor Martins,ART Grand Prix,1:59.836,22
