Pos.,No.,Driver,Team,Time,Grid
1,22,Richard Verschoor,Trident,1:21.283,1
2,1,Victor Martins,ART Grand Prix,1:21.310,2
3,20,Isack Hadjar,Campos Racing,1:21.440,3
4,17,Paul Aron,Hitech Pulse-Eight,1:21.347,4
5,12,Franco Colapinto,MP Motorsport,1:21.655,5
6,23,Roman Staněk,Trident,1:21.466,6
7,4,Andrea Kimi Antonelli,Prema Racing,1:21.669,7
8,11,Dennis Hauger,MP Motorsport,1:21.659,8
9,10,Gabriel Bortoleto,Invicta Racing,1:21.670,9
10,25,Taylor Barnard,AIX Racing,1:21.831,10
11,14,Enzo Fittipaldi,Van Amersfoort Racing,1:21.723,11
12,3,Oliver Bearman,Prema Racing,1:21.919,12
13,8,Juan Manuel Correa,DAMS Lucas Oil,1:21.771,13
14,5,Zane Maloney,Rodin Motorsport,1:21.941,14
15,2,Zak O'Sullivan,ART Grand Prix,1:21.985,15
16,9,Kush Maini,Invicta Racing,1:21.988,16
17,16,Amaury Cordeel,Hitech Pulse-Eight,1:22.219,17
18,7,Jak Crawford,DAMS Lucas Oil,1:22.030,18
19,24,Joshua Dürksen,AIX Racing,1:22.387,19
20,21,Pepe Martí,Campos Racing,1:22.226,20
21,6,Ritomo Miyata,Rodin Motorsport,1:27.498,22
22,15,Rafael Villagómez,Van Amersfoort Racing,1:40.365,21
