Pos.,No.,Driver,Team,Time,Grid
1,10,Gabriel Bortoleto,Invicta Racing,1:41.915,1
2,20,Isack Hadjar,Campos Racing,1:41.938,2
3,5,Zane Maloney,Rodin Motorsport,1:41.982,3
4,11,Dennis Hauger,MP Motorsport,1:41.990,4
5,6,Ritomo Miyata,Rodin Motorsport,1:42.003,5
6,2,Zak O'Sullivan,ART Grand Prix,1:42.014,6
7,14,Enzo Fittipaldi,Van Amersfoort Racing,1:42.070,7
8,1,Victor Martins,ART Grand Prix,1:42.158,8
9,25,Taylor Barnard,PHM AIX Racing,1:42.207,9
10,7,Jak Crawford,DAMSLucas Oil,1:42.287,10
11,21,Pepe Martí,Campos Racing,1:42.333,11
12,17,Paul Aron,Hitech Pulse-Eight,1:42.340,12
13,8,Juan Manuel Correa,DAMSLucas Oil,1:42.369,13
14,15,Rafael Villagómez,Van Amersfoort Racing,1:42.392,14
15,12,Franco Colapinto,MP Motorsport,1:42.392,15
16,22,Richard Verschoor,Trident,1:42.644,16
17,4,Andrea Kimi Antonelli,Prema Racing,1:42.693,17
18,3,Oliver Bearman,Prema Racing,1:42.710,18
19,16,Amaury Cordeel,Hitech Pulse-Eight,1:42.945,19
20,23,Roman Staněk,Trident,1:43.068,20
21,24,Joshua Dürksen,PHM AIX Racing,1:43.153,21
DSQ,9,Kush Maini,Invicta Racing,1:41.696,22
