Pos,No,Driver,Team,Time,Grid
1,9,Oliver Turvey,iSport International,1:48.559,1
2,7,Dani Clos,Racing Engineering,1:49.035,11
3,4,Sergio Pérez,Barwa Addax Team,1:49.081,2
4,19,Fabio Leimer,Ocean Racing Technology,1:49.148,3
5,10,Davide Valsecchi,iSport International,1:49.307,4
6,1,Jules Bianchi,ART Grand Prix,1:49.338,14
7,14,Luiz Razia,Rapax,1:49.410,5
8,3,Giedo van der Garde,Barwa Addax Team,1:49.429,16
9,12,Romain Grosjean,DAMS,1:49.462,6
10,13,Sam Bird,ART Grand Prix,1:49.624,18
11,25,Adrian Zaugg,Trident Racing,1:49.812,7
12,18,Max Chilton,Ocean Racing Technology,1:49.890,8
13,26,Michael Herck,DPR,1:50.160,9
14,27,Fabrizio Crestani,DPR,1:50.239,10
15,15,Pastor Maldonado,Rapax,1:50.362,22
16,17,Rodolfo González,Arden International Motorsport,1:50.549,12
17,5,Josef Král,Super Nova Racing,1:50.559,13
18,21,Brendon Hartley,Scuderia Coloni,1:50.568,15
19,16,Charles Pic,Arden International Motorsport,1:50.569,17
20,6,Marcus Ericsson,Super Nova Racing,1:50.719,19
21,11,Jérôme d'Ambrosio,DAMS,1:50.730,24
22,20,James Jakes,Scuderia Coloni,1:50.901,20
23,8,Ho-Pin Tung,Racing Engineering,1:51.061,21
24,24,Federico Leo,Trident Racing,1:52.170,23
