Pos,No,Driver,Team,Time,Grid
1,10,Davide Valsecchi,iSport International,1:34.860,1
2,15,Pastor Maldonado,Rapax,1:34.875,2
3,9,Oliver Turvey,iSport International,1:35.135,3
4,4,Sergio Pérez,Barwa Addax Team,1:35.194,4
5,2,Sam Bird,ART Grand Prix,1:35.267,5
6,3,Giedo van der Garde,Barwa Addax Team,1:35.348,6
7,7,Dani Clos,Racing Engineering,1:35.364,7
8,16,Charles Pic,Arden International Motorsport,1:35.411,8
9,20,Alberto Valerio,Scuderia Coloni,1:35.491,9
10,14,Luiz Razia,Rapax,1:35.527,10
11,8,Christian Vietoris,Racing Engineering,1:35.664,11
12,1,Jules Bianchi,ART Grand Prix,1:35.676,12
13,27,Giacomo Ricci,DPR,1:35.750,13
14,26,Michael Herck,DPR,1:35.762,14
15,18,Max Chilton,Ocean Racing Technology,1:35.842,15
16,11,Jérôme d'Ambrosio,DAMS,1:35.926,16
17,5,Josef Král,Super Nova Racing,1:35.955,17
18,25,Adrian Zaugg,Trident Racing,1:35.957,18
19,6,Marcus Ericsson,Super Nova Racing,1:35.973,19
20,24,Johnny Cecotto Jr.,Trident Racing,1:36.047,20
21,19,Fabio Leimer,Ocean Racing Technology,1:36.167,21
22,21,Vladimir Arabadzhiev,Scuderia Coloni,1:36.564,22
23,17,Rodolfo González,Arden International Motorsport,1:36.628,24
24,12,Ho-Pin Tung,DAMS,1:36.663,23
