Pos,No,Name,Team,Time,Grid
1,1,Jules Bianchi,ART Grand Prix,1:27.727,1
2,4,Sergio Pérez,Barwa Addax Team,1:28.011,2
3,2,Sam Bird,ART Grand Prix,1:28.241,3
4,8,Christian Vietoris,Racing Engineering,1:28.254,4
5,9,Oliver Turvey,iSport International,1:28.298,5
6,16,Charles Pic,Arden International Motorsport,1:28.300,6
7,7,Dani Clos,Racing Engineering,1:28.372,7
8,6,Marcus Ericsson,Super Nova Racing,1:28.376,8
9,15,Pastor Maldonado,Rapax,1:28.670,9
10,10,Davide Valsecchi,iSport International,1:28.714,10
11,19,Fabio Leimer,Ocean Racing Technology,1:28.723,11
12,27,Giacomo Ricci,DPR,1:28.969,12
13,3,Giedo van der Garde,Barwa Addax Team,1:29.000,16
14,14,Luiz Razia,Rapax,1:29.065,13
15,24,Johnny Cecotto Jr.,Trident Racing,1:29.129,14
16,11,Jérôme d'Ambrosio,DAMS,1:29.238,15
17,20,Alberto Valerio,Scuderia Coloni,1:29.271,17
18,5,Josef Král,Super Nova Racing,1:29.382,18
19,18,Max Chilton,Ocean Racing Technology,1:29.437,19
20,26,Michael Herck,DPR,1:29.500,20
21,25,Adrian Zaugg,Trident Racing,1:29.518,21
22,12,Ho-Pin Tung,DAMS,1:29.519,22
23,21,Vladimir Arabadzhiev,Scuderia Coloni,1:29.912,23
24,17,Rodolfo González,Arden International Motorsport,1:30.209,24
